id,alpha,delta,magnitude,diameter,axisRatio,posAngle,Common name,PGC,PGC2,Messier
IC1211,244.216581,53.006029,13.80,0.76,1.14,70,,PGC57707,,
NGC6100,244.218259,0.841311,13.90,0.54,1.67,105,,PGC57706,,
NGC6093,244.260042,-22.976083,7.20,8.90,,,,,,M80
NGC6105,244.288779,34.878887,15.30,0.57,1.35,125,,PGC57716,,
NGC6123,244.332256,61.939161,14.40,0.76,3.13,5,,PGC57729,,
NGC6107,244.333929,34.901661,14.70,2.03,1.51,34,,PGC57728,,
NGC6108,244.356811,35.135754,15.40,0.75,1.93,120,,PGC57734,,
NGC6109,244.418911,35.004215,14.90,0.63,1.06,45,,PGC57748,,
NGC6110,244.433206,35.087013,15.60,0.51,1.93,105,,PGC57751,,
NGC6112,244.502348,35.110272,14.80,0.50,1.02,125,,PGC57762,,
NGC6114,244.598458,35.174307,15.30,0.61,1.51,105,,PGC57784,,
IC1209,244.665033,15.558314,15.10,0.67,1.22,5,,PGC57796,,
NGC6106,244.696554,7.410820,13.40,1.05,1.47,140,,PGC57799,,
NGC6087,244.721000,-57.916000,5.40,12.00,,,,,,
NGC6116,244.727490,35.153952,15.30,0.70,1.79,0,,PGC57800,,
NGC6113,244.793955,14.133656,14.80,0.73,2.00,155,,PGC57807,,
NGC6128,244.798060,57.984129,13.00,0.94,,,,PGC57812,,
NGC6127,244.798060,57.984129,13.00,0.94,1.00,,,PGC57812,,
NGC6117,244.825639,37.095217,14.70,0.50,1.09,155,,PGC57816,,
NGC6130,244.889295,57.614975,14.20,0.81,1.67,30,,PGC57828,,
NGC6119,244.924880,37.806299,15.40,0.29,1.14,70,,PGC57837,,
NGC6120,244.950489,37.774357,14.30,0.55,1.32,30,,PGC57842,,
NGC6122,245.039771,37.798226,15.00,0.84,3.85,155,,PGC57858,,
IC4601,245.108333,-20.160000,,20.00,,,,,,
IC4595,245.185167,-70.142600,13.10,3.24,5.59,59,,PGC57876,,
NGC6140,245.242342,65.390550,12.60,2.63,1.20,76,,PGC57886,,
NGC6136,245.247462,55.970477,15.50,0.55,1.79,95,,PGC57892,,
NGC6126,245.366357,36.376618,14.50,0.68,1.06,135,,PGC57908,,
NGC6143,245.426207,55.086026,13.90,0.69,1.25,175,,PGC57919,,
NGC6129,245.430263,37.996037,14.70,0.60,1.16,130,,PGC57920,,
NGC6118,245.452527,-2.283522,13.20,1.60,1.79,60,,PGC57924,,
NGC6131,245.467649,38.932461,14.20,0.92,1.85,155,,PGC57927,,
NGC6137,245.762998,37.922375,14.10,1.18,2.00,175,,PGC57966,,
NGC6142,245.837751,37.258386,14.80,1.06,2.63,165,,PGC57984,,
NGC6121,245.896750,-26.525750,5.90,26.30,,,,,,M4
NGC6132,245.911851,11.786275,14.80,0.79,2.94,125,,PGC58002,,
NGC6115,246.139000,-51.932000,9.80,3.00,,,,,,
IC1219,246.114349,19.482516,15.40,0.73,2.08,115,,PGC58037,,
NGC6147,246.274324,40.928768,16.00,0.34,1.16,75,,PGC58077,,
NGC6145,246.259832,40.946641,15.10,0.73,2.00,5,,PGC58074,,
NGC6146,246.293029,40.892870,13.80,0.93,1.28,70,,PGC58080,,
NGC6124,246.332000,-40.661000,5.80,29.00,,,,,,
IC4603,246.500000,-24.400000,,20.00,,,,,,
NGC6154,246.377019,49.840253,13.60,0.95,1.67,135,,PGC58095,,
IC4604,246.500000,-23.400000,5.10,60.00,,,Rho Ophiuchi Nebula,,,
NGC6101,246.450500,-72.202194,9.30,10.70,,,,,,
NGC6157,246.451572,55.360597,15.50,0.50,1.35,30,,PGC58101,,
NGC6150,246.458187,40.488724,14.90,0.91,2.08,65,,PGC58105,,
NGC6155,246.534730,48.366781,13.20,0.99,1.43,145,,PGC58115,,
NGC6148,246.766823,24.093286,16.48,0.33,1.78,50,,PGC58162,,
NGC6144,246.807750,-26.023500,9.10,9.30,,,,,,
NGC6149,246.850965,19.597181,14.80,0.72,1.47,15,,PGC58183,,
NGC6159,246.855157,42.679723,15.20,0.69,1.28,120,,PGC58185,,
NGC6176,246.902290,59.562531,14.80,0.49,1.16,70,,PGC58188,,
NGC6139,246.916613,-38.849175,9.68,5.50,1.04,0,,,,
NGC6158,246.920360,39.383010,15.50,0.58,1.22,85,,PGC58198,,
NGC6160,246.921342,40.926966,14.80,0.98,1.43,55,,PGC58199,PGC58191,
NGC6134,246.953000,-49.161000,7.20,7.00,,,,,,
NGC6161,247.085675,32.809667,15.74,0.54,1.85,165,,PGC58235,,
NGC6162,247.093223,32.849319,15.20,0.69,1.28,45,,PGC58238,,
NGC6163,247.116304,32.846367,15.40,0.56,1.28,30,,PGC58250,,
NGC6166,247.159353,39.551176,11.78,1.08,1.39,40,,PGC58265,,
NGC6182,247.391674,55.517782,14.60,0.81,2.63,145,,PGC58338,,
NGC6173,247.437027,40.811636,14.00,1.07,1.47,145,,PGC58348,,
NGC6174,247.448660,40.871999,15.00,0.35,1.39,120,,PGC58351,,
NGC6175,247.491966,40.628586,15.00,1.01,1.67,110,,PGC58362,PGC200339,
IC4605,247.750000,-25.100000,4.70,30.00,,,,,,
NGC6180,247.641286,40.539391,15.20,0.56,1.52,5,,PGC58386,,
NGC6177,247.661992,35.056393,14.80,0.83,2.17,25,,PGC58390,,
NGC6179,247.696023,35.102232,15.70,0.27,1.13,5,,PGC58401,,
NGC6168,247.839489,20.183716,15.22,1.27,5.01,110,,PGC58423,,
NGC6153,247.877379,-40.253513,15.55,0.40,1.06,160,,,,
NGC6184,247.893878,40.565624,15.10,0.59,1.67,125,,PGC58432,,
NGC6187,247.903128,57.706722,15.10,0.51,1.35,135,,PGC58429,,
NGC6189,247.920420,59.626110,13.30,1.58,2.03,43,,PGC58440,,
NGC6190,248.027918,58.438981,13.20,0.67,1.35,80,,PGC58458,,
NGC6181,248.087800,19.824700,12.70,1.50,1.79,0,,PGC58470,,
NGC6251,248.133208,82.537889,12.89,1.04,1.11,30,,PGC58472,,
NGC6171,248.132750,-13.053778,8.10,10.00,,,,,,M107
NGC6217,248.163375,78.198191,13.88,1.71,1.47,160,,PGC58477,,
NGC6252,248.168857,82.576802,15.10,0.74,1.85,60,,PGC58456,,
NGC6152,248.213000,-52.629000,8.10,30.00,,,,,,
IC4609,248.256747,22.797400,15.40,0.59,1.06,130,,PGC58489,,
NGC6185,248.324306,35.342342,14.50,0.92,1.47,5,,PGC58493,,
NGC6164,248.468279,-48.111243,6.71,,,,,,,
NGC6165,248.468279,-48.111243,6.71,,,,,,,
NGC6169,248.528000,-44.016000,7.00,7.00,,,,,,
NGC6186,248.606187,21.540836,14.20,1.26,2.27,60,,PGC58523,,
NGC6167,248.662000,-49.759000,6.70,8.00,,,,,,
IC1221,248.673413,46.392087,14.40,0.53,1.25,45,,PGC58528,,
NGC6156,248.718937,-60.618852,12.30,1.12,1.22,170,,PGC58536,,
IC1222,248.788278,46.213920,13.45,0.73,1.85,70,,PGC58544,,
NGC6198,248.877756,57.486795,14.80,0.55,1.56,95,,PGC58554,,
NGC6178,248.939000,-45.635000,7.20,4.00,,,,,,
NGC6195,249.135690,39.027892,14.70,0.92,1.79,30,,PGC58596,,
NGC6194,249.154823,36.200442,14.60,0.67,1.35,105,,PGC58598,,
IC1225,249.218943,67.629414,15.50,0.75,2.94,75,,PGC58607,,
IC4613,249.318590,35.979042,15.50,0.34,1.92,5,,PGC58620,,
IC4614,249.446591,36.114981,15.30,0.44,1.11,45,,PGC58641,,
NGC6196,249.474640,36.073040,14.20,0.80,1.52,145,,PGC58644,,
IC4615,249.474640,36.073040,14.20,0.80,1.52,145,,PGC58644,,
IC4616,249.499483,35.995525,15.40,0.58,1.92,30,,PGC58655,,
NGC6197,249.499483,35.995525,15.40,0.58,1.92,30,,PGC58655,,
NGC6214,249.883106,66.039582,14.30,0.58,1.19,0,,PGC58709,,
NGC6188,250.000000,-48.500000,,20.00,,,,,,
NGC6206,250.032904,58.617352,14.50,0.59,1.22,90,,PGC58723,,
NGC6201,250.060061,23.765329,15.50,0.46,1.52,100,,PGC58727,,
NGC6192,250.077000,-43.355000,9.00,8.00,,,,,,
NGC6203,250.114134,23.774787,15.30,0.50,1.11,105,,PGC58729,,
IC1226,250.277359,46.004062,15.40,0.43,1.19,50,,PGC58754,,
NGC6193,250.319000,-48.777000,5.20,15.00,,,,,,
NGC6211,250.365350,57.783642,13.80,0.91,1.25,95,,PGC58775,,
NGC6213,250.404823,57.814928,15.20,0.54,1.73,60,,PGC58778,,
NGC6205,250.423475,36.461319,5.80,16.60,,,,,,M13
NGC6183,250.424473,-69.372192,14.09,1.65,3.33,35,,PGC58785,,
IC1228,250.526731,65.585464,14.50,0.89,2.17,125,,PGC58804,,
IC4617,250.533620,36.684089,,0.53,2.38,30,,PGC2085077,,
IC1224,250.734537,19.254364,15.50,0.74,1.47,100,,PGC58824,,
NGC6207,250.765625,36.832425,11.65,1.59,2.08,20,,PGC58827,,
NGC6223,250.767702,61.578917,13.10,1.06,1.25,85,,PGC58828,,
NGC6232,250.834365,70.632550,15.80,0.63,1.39,85,,PGC58841,,
NGC6212,250.846410,39.806439,15.00,0.46,1.35,85,,PGC58840,,
NGC6226,250.846627,61.984008,13.80,0.67,1.52,70,,PGC58847,,
NGC6237,251.595170,70.355060,14.10,1.82,1.92,156,,PGC58946,PGC58864,
NGC6200,251.025000,-47.466667,7.40,12.00,,,,,,
IC4619,251.046388,17.759196,15.20,0.41,1.22,95,,PGC58871,,
NGC6210,251.122996,23.799839,11.70,0.20,1.06,120,,,,
NGC6236,251.144575,70.780267,12.70,0.62,1.56,10,,PGC58891,,
IC1229,251.245080,51.308054,16.00,0.42,1.62,110,,PGC58902,,
NGC6245,251.329583,70.831389,,0.29,1.12,,,PGC58917,,
NGC6204,251.538000,-47.027000,8.20,5.00,,,,,,
NGC6248,251.595170,70.355060,14.10,1.82,1.92,156,,PGC58946,PGC58864,
NGC6219,251.593801,9.037829,15.20,0.42,1.25,130,,PGC58944,,
IC4608,251.725431,-77.488565,14.30,0.60,1.61,95,,PGC58968,,
NGC6229,251.744337,47.526772,9.86,4.50,1.09,160,,,,
IC1231,251.745985,58.423133,13.20,1.08,2.17,150,,PGC58973,,
NGC6220,251.805363,-0.275394,15.50,0.88,1.73,140,,PGC58979,,
NGC6218,251.809083,-1.948528,6.07,14.50,,,,,,M12
NGC6238,251.819337,62.147000,14.50,0.38,1.47,30,,PGC58980,,
NGC6228,252.011041,26.213539,15.30,0.62,2.50,145,,PGC59007,,
NGC6244,252.016435,62.200408,14.30,1.20,3.85,140,,PGC59009,,
NGC6224,252.077189,6.312236,15.00,0.62,1.11,165,,PGC59017,,
NGC6247,252.084422,62.976416,15.30,0.74,2.08,60,,PGC59023,,
NGC6225,252.089974,6.222805,15.00,0.70,1.61,150,,PGC59024,,
NGC6222,252.615000,-44.730000,10.00,,,,,,,
NGC6216,252.335000,-44.721000,10.10,4.00,,,,,,
NGC6208,252.336000,-53.714000,7.20,16.00,,,,,,
NGC6239,252.520950,42.739844,12.45,1.14,2.18,115,,PGC59083,,
NGC6241,252.545608,45.420604,14.80,0.52,1.19,90,,PGC59085,,
NGC6246,252.469542,55.541889,14.20,0.86,2.38,50,,PGC59077,,
NGC6233,252.565413,23.579826,14.90,0.94,1.72,15,,PGC59086,,
NGC6230,252.694579,4.604736,15.50,0.49,1.16,60,,PGC59106,,
IC4621,252.713242,8.783765,15.00,0.45,1.32,145,,PGC59104,,
IC4623,252.772233,22.527416,15.40,0.55,1.92,105,,PGC59115,,
IC4624,252.886667,17.450278,15.70,0.47,1.47,115,,PGC59131,,
NGC6260,252.960909,63.714573,15.80,0.58,1.22,150,,PGC59142,,
NGC6234,252.988949,4.383585,15.30,0.53,1.19,60,,PGC59144,,
IC1235,253.015119,63.115855,15.00,0.74,1.42,24,,PGC59146,,
NGC6243,253.109516,23.332591,15.10,0.77,1.72,150,,PGC59161,,
NGC6258,253.124128,60.514517,14.50,0.43,1.14,60,,PGC59165,,
NGC6221,253.193038,-59.216942,13.45,4.57,1.59,1,,PGC59175,,
NGC6215,252.778379,-58.993461,11.28,2.40,1.18,83,,PGC59112,,
NGC6240,253.245400,2.400900,13.37,1.10,1.78,15,,PGC59186,,
NGC6235,253.355667,-22.177444,7.20,5.00,,,,,,
NGC6231,253.545000,-41.812000,2.60,15.00,,,,,,
NGC6255,253.699846,36.500878,13.40,0.76,3.33,105,,PGC59244,,
NGC6209,253.739792,-72.587045,13.16,1.27,1.43,20,,PGC59252,,
IC4630,253.789916,26.662928,14.80,0.44,1.28,20,,PGC59257,,
NGC6242,253.878000,-39.474000,6.40,9.00,,,,,,
NGC6275,253.888717,63.242301,17.37,0.37,1.85,150,,PGC59262,,
NGC6257,254.014682,39.645502,15.60,0.61,3.56,120,,PGC59274,,
IC1237,254.066751,55.026534,14.70,1.07,3.56,25,,PGC59280,,
NGC6261,254.127194,27.977567,15.20,0.83,2.00,80,,PGC59286,,
NGC6263,254.180035,27.822090,15.10,0.66,1.19,90,,PGC59292,,
IC4628,254.227789,-40.512345,7.10,90.00,,,,,,
NGC6254,254.287708,-4.100306,4.98,15.10,,,,,,M10
NGC6264,254.317197,27.849604,15.50,0.58,1.56,25,,PGC59306,,
NGC6288,254.352120,68.457064,15.30,0.57,1.56,105,,PGC59312,,
NGC6265,254.371307,27.844293,15.40,0.56,1.56,35,,PGC59315,,
NGC6249,254.445000,-44.815000,8.20,6.00,,,,,,
NGC6289,254.437339,68.514746,15.50,0.59,1.28,0,,PGC59322,,
IC4618,254.458267,-76.993028,13.02,1.20,1.56,100,,PGC59325,,
NGC6250,254.497000,-45.951000,5.90,8.00,,,,,,
NGC6269,254.492088,27.854412,13.73,1.04,1.39,75,,PGC59332,,
NGC6267,254.536078,22.985110,14.00,0.95,1.16,40,,PGC59340,,
NGC6285,254.600067,58.955897,15.30,0.64,2.18,100,,PGC59344,,
IC1236,254.623334,20.041470,14.60,0.64,1.09,70,,PGC59350,,
NGC6270,254.631700,27.586425,15.00,0.37,1.47,155,,PGC59362,,
NGC6286,254.630653,58.936143,14.20,1.02,2.78,35,,PGC59352,,
NGC6271,254.711137,27.965002,15.50,0.42,1.09,30,,PGC59365,,
NGC6272,254.742758,27.930977,15.50,0.39,1.79,170,,PGC59367,,
NGC6279,254.755958,47.237157,14.90,0.74,1.14,10,,PGC59370,,
NGC6253,254.778000,-52.712000,10.20,5.00,,,,,,
NGC6274,254.835207,29.946163,14.33,0.48,1.39,15,,PGC59383,,
NGC6283,254.860703,49.922144,13.70,0.59,1.14,40,,PGC59386,,
NGC6256,254.886167,-37.121417,,1.70,,,,,,
NGC6276,255.187425,23.044008,15.20,0.40,1.22,145,,PGC59419,,
NGC6259,255.195000,-44.678000,8.00,10.00,,,,,,
IC1239,255.187830,+23.044083,14.00,2.10,,,,,,
NGC6282,255.196271,29.820606,15.20,0.49,1.19,30,,PGC59418,,
NGC6277,255.187425,23.044008,15.20,0.40,1.22,145,,PGC59419,,
NGC6278,255.209681,23.011038,13.80,1.37,1.79,125,,PGC59426,,
NGC6291,255.233056,58.937543,15.00,0.43,1.11,165,,PGC59435,,
NGC6290,255.235148,58.970427,14.30,0.77,1.09,30,,PGC59428,,
NGC6266,255.302500,-30.112361,6.60,14.10,,,,,,M62
IC1241,255.367579,63.691080,16.20,0.58,1.51,70,,PGC59452,,
IC4634,255.389924,-21.825838,11.30,0.20,1.02,5,,,,
NGC6280,255.489303,6.666014,15.50,0.49,1.43,140,,PGC59464,,
NGC6268,255.524000,-39.721000,10.00,6.00,,,,,,
NGC6273,255.657042,-26.267944,5.57,13.50,,,,,,M19
NGC6292,255.764415,61.043904,14.40,0.75,1.93,105,,PGC59498,,
NGC6295,255.813600,60.337792,16.00,0.64,2.17,75,,PGC59510,,
NGC6331,255.899538,78.628907,14.00,0.89,2.08,115,,PGC84830,,
NGC6297,255.902298,62.025609,14.40,0.54,1.19,65,,PGC59525,,
NGC6284,256.119779,-24.764228,7.43,5.60,1.04,85,,,,
NGC6281,256.179000,-37.948000,5.40,60.00,,,,,,
NGC6299,256.268394,62.457826,15.00,0.48,1.11,105,,PGC59561,,
NGC6287,256.289544,-22.707805,10.30,5.10,1.25,60,,,,
IC4637,256.293625,-40.885472,9.20,0.30,,,,,,
NGC6324,256.358092,75.407425,13.50,0.64,1.78,60,,PGC59583,,
NGC6306,256.903779,60.728664,13.74,0.86,3.13,165,,PGC59654,,
NGC6307,256.918633,60.750763,13.95,1.03,1.43,150,,PGC59655,,
NGC6310,256.989321,60.990056,13.80,1.41,3.84,70,,PGC59662,,
NGC6301,257.136437,42.339128,14.60,0.92,1.72,110,,PGC59681,,
IC1242,257.178602,4.049901,14.90,0.47,1.28,110,,PGC59688,,
NGC6296,257.185283,3.894117,14.20,0.69,1.31,120,,PGC59690,,
NGC6317,257.247886,62.898015,16.00,0.51,1.56,40,,PGC59708,,
NGC6319,257.433647,62.973034,14.40,0.60,1.19,135,,PGC59717,,
NGC6293,257.543417,-26.581722,8.20,7.90,,,,,,
IC1251,257.555117,72.410736,14.23,0.41,1.43,50,,PGC59735,,
NGC6313,257.586786,48.331775,14.80,0.92,2.63,155,,PGC59739,,
NGC6340,257.603478,72.304422,11.01,1.50,1.02,145,,PGC59742,,
IC1244,257.640336,36.303414,14.70,0.67,1.11,170,,PGC59746,,
NGC6311,257.681579,41.651047,14.90,0.86,1.28,0,,PGC59750,,
NGC6312,257.700650,42.287694,15.30,0.52,1.32,0,,PGC59751,,
IC1254,257.888946,72.402022,13.84,0.68,2.50,35,,PGC59783,,
IC1248,257.917157,59.995565,14.30,0.51,1.61,25,,PGC59791,PGC59740,
IC4642,257.938352,-55.400462,13.00,0.28,,,,PGC3099047,,
NGC6308,257.998796,23.379966,14.40,0.82,1.04,40,,PGC59807,,
IC1245,258.152503,38.020454,15.00,0.77,1.43,135,,PGC59835,,
NGC6314,258.161200,23.270064,14.62,0.94,1.92,170,,PGC59838,,
NGC6315,258.192282,23.223579,15.40,0.48,1.56,130,,PGC59843,,
NGC6320,258.232229,40.266493,14.90,0.81,1.47,105,,PGC59852,,
NGC6323,258.325189,43.782437,14.80,0.89,2.63,175,,PGC59868,,
NGC6302,258.435400,-37.103100,13.00,0.80,1.05,68,Bug Nebula,,,
IC4633,258.446735,-77.536135,12.40,1.85,1.61,145,,PGC59884,,
NGC6327,258.509522,43.649474,15.70,0.32,1.19,130,,PGC59889,,
NGC6309,258.517948,-12.910526,11.60,1.10,1.43,150,Box Nebula,,,
NGC6329,258.562616,43.684695,14.30,0.41,1.13,80,,PGC59894,,
NGC6321,258.600933,20.313956,14.50,0.71,1.25,85,,PGC59900,,
NGC6304,258.634375,-29.462028,8.40,6.80,,,,,,
IC4645,258.679625,43.104150,15.70,0.26,1.22,15,,PGC59915,,
IC1249,258.729244,35.520485,14.90,0.41,1.22,5,,PGC59919,,
NGC6332,258.762068,43.660161,14.60,1.17,1.92,45,,PGC59927,,
NGC6338,258.845730,57.411198,14.20,1.07,1.52,15,,PGC59947,,
NGC6345,258.851143,57.350285,15.40,0.66,3.33,35,,PGC59945,,
NGC6346,258.851952,57.322504,15.30,0.56,1.39,100,,PGC59946,,
IC4635,258.913415,-77.489660,13.94,1.66,3.33,160,,PGC59959,,
NGC6330,258.935051,29.404322,14.80,0.88,3.12,170,,PGC59961,,
IC4648,259.041660,+43.862500,,,,,,,,
NGC6318,259.044000,-39.424000,11.80,4.00,,,,,,
NGC6336,259.069082,43.820551,14.50,0.63,1.47,160,,PGC59976,,
NGC6316,259.155917,-28.140000,9.03,4.90,,,,,,
NGC6300,259.248091,-62.820541,13.08,5.62,1.58,119,,PGC60001,,
NGC6339,259.277007,40.844869,13.70,0.79,1.92,125,,PGC60003,,
NGC6341,259.280792,43.135944,6.52,11.20,,,,,,M92
NGC6343,259.317785,41.052750,14.70,0.60,1.16,120,,PGC60010,,
NGC6344,259.329583,+42.449167,,0.59,1.32,19,,,,
NGC6359,259.470741,61.780796,12.64,0.75,1.35,145,,PGC60025,,
NGC6325,259.496958,-23.766028,10.70,4.30,,,,,,
NGC6305,259.503814,-59.172109,12.61,1.02,1.61,140,,PGC60029,,
NGC6348,259.588285,41.647614,15.60,0.48,1.19,105,,PGC60036,,
NGC6322,259.625000,-42.937000,6.00,10.00,,,,,,
NGC6361,259.671368,60.607993,13.87,1.59,3.85,50,,PGC60045,,
NGC6350,259.676043,41.694335,14.30,0.69,1.02,50,,PGC60046,,
NGC6358,259.720975,52.615348,15.10,0.76,2.08,110,,PGC60054,,
NGC6349,259.777291,36.060976,15.10,0.64,2.17,80,,PGC60060,,
NGC6351,259.796073,36.060304,16.00,0.31,1.14,125,,PGC60063,,
NGC6333,259.799083,-18.516250,8.42,9.30,,,,,,M9
NGC6347,259.977812,16.660664,13.45,0.95,1.92,95,,PGC60086,,
NGC6326,260.192717,-51.754214,11.53,0.20,1.03,71,,,,
NGC6334,260.219423,-36.131234,,40.00,,,,,,
NGC6342,260.292250,-19.587417,10.01,3.00,,,,,,
IC4660,260.438819,75.848742,15.40,0.73,3.33,170,,PGC60124,,
NGC6337,260.565301,-38.483815,12.00,0.80,,,,,,
NGC6363,260.666696,41.101648,14.50,0.65,1.22,40,,PGC60164,,
NGC6365,260.681326,62.173666,14.60,1.15,4.60,32,,PGC60171,,
IC1255,260.772501,12.695466,14.20,0.69,1.79,10,,PGC60180,,
NGC6370,260.854829,56.974500,14.20,0.73,1.14,125,,PGC60192,,
NGC6356,260.895792,-17.813028,7.42,7.20,,,,,,
NGC6328,260.920956,-65.010170,13.20,1.02,1.25,145,,PGC60198,,
IC1256,260.947029,26.486520,13.55,0.85,1.79,90,,PGC60203,,
IC4646,260.971523,-59.999431,12.65,1.17,1.22,165,,PGC60208,,
IC4640,260.992364,-80.064126,14.78,0.46,1.11,100,,PGC60209,,
NGC6355,260.994375,-26.353417,11.05,5.00,,,,,,
NGC6373,261.033730,58.995097,14.33,0.38,1.85,80,,PGC60220,,
IC4641,261.042787,-80.147400,13.90,0.45,1.31,155,,PGC60221,,
NGC6364,261.113838,29.390212,13.87,0.86,1.28,0,,PGC60228,,
NGC6354,261.141660,-38.541944,,,,,,,,
IC4644,261.153533,-73.940117,14.30,0.71,3.33,135,,PGC60234,,
NGC6357,261.185000,-34.203000,,6.20,,,,,,
IC4651,261.212000,-49.917000,6.90,12.00,,,,,,
NGC6367,261.287563,37.759907,15.00,0.63,1.32,135,,PGC60251,,
NGC6376,261.329925,58.817314,18.97,0.33,1.39,175,,PGC60258,,
NGC6377,261.346698,58.822743,15.50,0.63,2.94,65,,PGC60264,,
NGC6352,261.371292,-48.422167,8.20,7.10,,,,,,
IC4647,261.515535,-80.195135,14.47,0.75,2.08,170,,PGC60280,,
IC4652,261.611358,-59.727839,14.16,0.69,2.00,15,,PGC60290,,
NGC6395,261.630371,71.096261,12.80,0.94,2.94,20,,PGC60291,,
IC4653,261.778869,-60.878932,13.25,1.02,1.79,45,,PGC60311,,
NGC6368,261.798096,11.543622,13.70,1.56,2.94,45,,PGC60315,,
NGC6381,261.820467,60.014069,13.60,0.62,1.31,20,,PGC60321,,
IC1258,261.822426,58.485473,14.40,0.69,1.25,70,,PGC60320,,
NGC6371,261.835958,26.505187,15.20,0.55,1.61,160,,PGC60322,,
IC1259,261.852921,58.516909,14.00,0.34,,,,PGC60323,,
NGC6372,261.882658,26.475125,14.10,0.84,1.39,55,,PGC60330,,
NGC6366,261.934333,-5.079861,10.00,8.30,,,,,,
NGC6382,261.979839,56.868710,15.20,0.63,1.25,100,,PGC60342,,
NGC6385,262.005909,57.521817,14.20,0.67,1.56,50,,PGC60343,,
NGC6387,262.099352,57.545419,16.81,0.32,1.88,71,,PGC60355,,
NGC6390,262.116850,60.094392,14.50,0.94,3.85,5,,PGC60356,,
NGC6391,262.204153,58.850879,15.00,0.49,1.39,100,,PGC60358,,
NGC6386,262.215788,52.723393,14.90,0.58,1.11,75,,PGC60367,,
NGC6369,262.335236,-23.759659,12.00,1.10,1.00,-65,,,,
NGC6375,262.341157,16.206738,14.50,0.83,1.11,145,,PGC60384,,
NGC6412,262.406342,75.704331,12.40,1.09,1.14,125,,PGC60393,,
NGC6393,262.535246,59.531832,15.90,0.42,1.11,,,PGC60405,,
NGC6394,262.589256,59.639890,15.27,0.75,2.50,30,,PGC60410,,
NGC6379,262.645422,16.288767,14.60,0.76,1.56,30,,PGC60421,,
NGC6414,262.653259,74.376160,15.60,0.62,2.08,140,,PGC60416,,
NGC6378,262.674865,6.282164,15.10,0.78,1.39,175,,PGC60418,,
NGC6399,262.959577,59.615485,14.80,0.76,2.09,15,,PGC60442,,
NGC6362,262.979125,-67.048333,8.30,10.70,,,,,,
NGC6384,263.101187,7.060425,13.20,5.50,2.00,14,,PGC60459,,
NGC6389,263.165616,16.401814,12.39,1.44,1.92,130,,PGC60466,,
IC1262,263.258407,43.759668,14.90,0.80,1.73,75,,PGC60479,,
IC1263,263.280072,43.822038,14.80,0.89,2.08,20,,PGC60481,,
IC1264,263.320051,43.629152,15.60,0.65,2.00,60,,PGC60484,,
NGC6380,263.616667,-39.069167,,3.90,,,,,,
NGC6383,263.673000,-32.573000,5.50,80.00,,,,,,
NGC6374,263.062500,-32.596667,9.00,3.00,,,,,,
NGC6411,263.886853,60.813399,13.20,1.14,1.39,70,,PGC60536,,
NGC6419,264.023804,68.155922,15.50,0.95,3.57,130,,PGC60543,,
NGC6424,264.050247,69.988923,14.50,0.54,1.52,85,,PGC60552,,
NGC6420,264.067972,68.052371,15.50,0.45,1.78,70,,PGC60532,,
NGC6388,264.072754,-44.735650,7.40,8.70,,,,,,
NGC6422,264.125104,68.058626,15.10,0.56,1.14,70,,PGC60558,,
NGC6409,264.147533,50.765903,14.80,0.47,1.13,65,,PGC60565,,
IC1265,264.164364,42.088272,14.30,0.78,2.50,80,,PGC60568,,
NGC6434,264.203319,72.088924,13.20,0.84,1.67,90,,PGC60573,,
NGC6423,264.222218,68.171484,15.60,0.35,1.39,5,,PGC60576,,
IC4654,264.282448,-74.381408,13.36,1.27,1.56,110,,PGC60582,,
NGC6396,264.399000,-35.013000,8.50,3.00,,,,,,
NGC6402,264.400625,-3.245917,5.73,11.70,,,,,,M14
IC4656,264.432776,-63.729717,13.74,1.31,2.94,90,,PGC60595,,
NGC6418,264.538765,58.714903,16.84,0.44,1.25,160,,PGC60610,,
NGC6401,264.653875,-23.908750,10.71,5.60,,,,,,
IC1267,264.691245,59.373124,14.50,0.65,1.43,50,,PGC60635,,
NGC6408,264.697328,18.877876,14.00,0.32,1.72,170,,PGC60637,,
NGC6404,264.916000,-33.224000,10.60,5.00,,,,,,
NGC6461,264.676633,73.515722,15.70,0.28,1.39,170,,PGC60631,,
NGC6435,265.046176,62.641725,14.90,0.60,1.39,5,,PGC60667,,
NGC6400,265.062000,-36.957000,8.80,8.00,,,,,,
NGC6405,265.069000,-32.242000,4.20,15.00,,,Butterfly Cluster,,,M6
NGC6397,265.175375,-53.674333,5.17,25.70,,,,,,
NGC6436,265.305097,60.449656,14.90,0.57,1.19,5,,PGC60695,,
NGC6417,265.449242,23.672149,14.40,0.82,1.22,5,,PGC60709,,
NGC6456,265.632658,67.592319,15.70,0.34,1.06,135,,PGC60729,,
NGC6398,265.682417,-61.694220,13.45,0.89,1.28,145,,PGC60735,,
NGC6457,265.720081,66.476036,14.70,0.72,1.47,130,,PGC60738,,
NGC6403,265.848061,-61.682119,14.33,0.67,1.09,20,,PGC60750,,
NGC6392,265.876307,-69.785246,12.98,0.91,1.09,65,,PGC60753,,
NGC6463,265.893086,67.603521,15.20,0.47,1.04,110,,PGC60755,,
NGC6427,265.910808,25.493922,14.60,1.22,2.78,35,,PGC60758,,
NGC6449,265.943034,56.804116,14.60,0.62,1.56,155,,PGC60762,,
