id,alpha,delta,magnitude,Spectral type,HD,HIP,Common name
29 ome02 Aql,289.971112,11.534964,6.01,A2V,HD181383,HIP95002,
26 f Aql,290.137109,-5.415768,4.99,G8/K0IV,HD181391,HIP95066,
27 d Aql,290.148693,-0.892160,5.45,B9III,HD181440,HIP95073,
58 pi. Dra,290.167048,65.714532,4.59,A0III,HD182564,HIP95081,
UX Dra,290.397993,76.559599,5.94,C-N5,HD183556,HIP95154,
44 rho01 Sgr,290.418166,-17.847199,3.93,A9IV,HD181577,HIP95168,
46 ups Sgr,290.431761,-15.955017,4.61,B2Vp_sh,HD181615,HIP95176,
45 rho02 Sgr,290.462064,-18.308389,5.84,K0III,HD181645,HIP95188,
bet01 Sgr,290.659580,-44.458958,4.01,B9V,HD181454,HIP95241,Arkab Prior
3 Vul,290.712023,26.262408,5.19,B6III,HD182255,HIP95260,
eta Tel,290.713359,-54.423929,5.02,A0V,HD181296,HIP95261,
bet02 Sgr,290.804739,-44.799779,4.27,F2/3V,HD181623,HIP95294,Arkab Posterior
alf Sgr,290.971562,-40.615936,3.94,B8V,HD181869,HIP95347,Rukbat
2 Cyg,291.031577,29.621336,4.98,B3IV,HD182568,HIP95372,
2 Sge,291.091967,16.937721,6.25,A2III-IV,HD182490,HIP95398,
3 Sge,291.189203,16.957021,6.84,A0,HD182571,HIP95435,
31 b Aql,291.242500,11.944413,5.16,G7IVHdel1,HD182572,HIP95447,
47 chi01 Sgr,291.318711,-24.508567,5.01,A3/5IV/V,HD182369,HIP95477,
48 chi02 Sgr,291.343094,-24.412101,7.28,B7IV,HD182391,HIP95486,
4 Vul,291.369178,19.798353,5.16,K0III,HD182762,HIP95498,
49 chi03 Sgr,291.373582,-23.962454,5.43,K3III,HD182416,HIP95503,
30 del Aql,291.374589,3.114779,3.36,F1IV-V(n),HD182640,HIP95501,Denebokab
4 Cyg,291.538029,36.317898,5.15,B8pSi(FeII),HD183056,HIP95556,
5 Vul,291.555193,20.097735,5.59,A0V,HD182919,HIP95560,
50 Sgr,291.579822,-21.776692,5.57,K1/2III,HD182629,HIP95564,
32 nu. Aql,291.629539,0.338571,4.72,F2Ib,HD182835,HIP95585,
7 Cyg,291.858164,52.320438,5.75,A1V,HD183534,HIP95656,
6 alf Vul,292.176375,24.664906,4.45,M0.5IIIb,HD183439,HIP95771,Anser
8 Vul,292.237847,24.768684,5.81,K0III,HD183491,HIP95785,
35 c Aql,292.254112,1.950449,5.78,A0IVp,HD183324,HIP95793,
7 Vul,292.337074,20.279740,6.33,B5Vn,HD183537,HIP95818,
U Aql,292.339006,-7.044073,6.61,F5I/II+B9.8V,HD183344,HIP95820,
10 iot Cyg,292.426493,51.729778,3.75,A5V,HD184006,HIP95853,
mu. Tel,292.644216,-55.110053,6.29,F5V,HD183028,HIP95932,
36 e Aql,292.665984,-2.788887,5.03,K5III,HD183630,HIP95937,
6 bet01 Cyg,292.680358,27.959678,3.20,K3II,HD183912,HIP95947,Albireo
6 bet02 Cyg,292.689151,27.965275,5.11,B8Ve,HD183914,HIP95951,
8 Cyg,292.943008,34.452969,4.72,B3IV,HD184171,HIP96052,
61 sig Dra,293.089959,69.661177,4.68,K0V,HD185144,HIP96100,Alsafi
38 mu. Aql,293.522304,7.378940,4.45,K3-IIIbFe0.5,HD184406,HIP96229,
9 Vul,293.645404,19.773401,5.00,B8IIIn,HD184606,HIP96275,
9 Cyg,293.712202,29.462968,5.41,G8III+A2III:,HD184759,HIP96302,
37 Aql,293.780241,-10.560443,5.12,G8.5IIIa,HD184492,HIP96327,
iot Tel,293.804110,-48.099199,4.88,K0III,HD184127,HIP96341,
11 Cyg,293.951268,36.944541,6.03,B8Vne,HD185037,HIP96387,
51 h01 Sgr,294.006890,-24.719081,5.64,A1mA2-F0,HD184552,HIP96406,
13 tet Cyg,294.110554,50.221101,4.48,F3+V,HD185395,HIP96441,
52 h02 Sgr,294.176806,-24.883621,4.60,B8/9V,HD184707,HIP96465,
41 iot Aql,294.180324,-1.286600,4.36,B5III,HD184930,HIP96468,
R Cyg,294.205658,50.199924,6.10,S4-8/6e,HD185456,,
39 kap Aql,294.222706,-7.027477,4.96,B0.5IIIn,HD184915,HIP96483,
4 eps Sge,294.322471,16.462804,5.66,G8IIIv,HD185194,HIP96516,
42 Aql,294.447158,-4.647640,5.68,F3IV/V,HD185124,HIP96556,
44 sig Aql,294.798510,5.397772,5.17,B3V,HD185507,HIP96665,
12 phi Cyg,294.844191,30.153321,4.67,G8III,HD185734,HIP96683,
14 Cyg,294.860386,42.818261,5.40,B9III,HD185872,HIP96693,
53 Sgr,294.956072,-23.427682,6.32,A0V,HD185404,HIP96729,
5 alf Sge,295.024131,18.013891,4.38,G1II,HD185758,HIP96757,Sham
45 Aql,295.180488,-0.621223,5.64,A2V,HD185762,HIP96807,
54 e01 Sgr,295.180763,-16.293271,5.30,K1III,HD185644,HIP96808,
6 bet Sge,295.262246,17.476042,4.38,G8IIIaCN0.5,HD185958,HIP96837,
QS Aql,295.273035,13.815681,5.99,B5V,HD185936,HIP96840,
16 c Cyg,295.453973,50.525061,5.95,G1.5Vb,HD186408,HIP96895,
16 c Cyg,295.466553,50.517525,6.20,G3V,HD186427,HIP96901,
46 Aql,295.553385,12.193261,6.32,B9III,HD186122,HIP96931,
55 e02 Sgr,295.629721,-16.123998,5.04,F3IV/V,HD186005,HIP96950,
47 chi Aql,295.641703,11.826582,5.66,G2Ib,HD186203,HIP96957,
10 Vul,295.928820,25.771920,5.50,G8III,HD186486,HIP97077,
15 Cyg,296.069188,37.354356,4.89,G8III,HD186675,HIP97118,
48 psi Aql,296.142461,13.302778,6.24,B9III-IV,HD186547,HIP97139,
18 del Cyg,296.243661,45.130810,2.87,A0IV,HD186882,HIP97165,
49 ups Aql,296.416447,7.613157,5.91,A3IV,HD186689,HIP97229,
50 gam Aql,296.564918,10.613261,2.72,K3II,HD186791,HIP97278,Tarazed
56 f Sgr,296.590581,-19.761115,4.87,K0+III,HD186648,HIP97290,
17 Cyg,296.606667,33.727598,4.99,F5.5IV-V,HD187013,HIP97295,
7 del Sge,296.846940,18.534314,3.81,M2II+B0V,HD187077,,
7 del Sge,296.846940,18.534314,3.81,M2II+B0V,HD187076,HIP97365,
nu. Tel,297.004990,-56.362611,5.33,A7III/IV,HD186543,HIP97421,
63 eps Dra,297.043127,70.267930,3.91,G7IIIbFe-1,HD188119,HIP97433,Tyl
52 pi. Aql,297.175634,11.815768,6.75,A3V,HD187260,,
52 pi. Aql,297.175244,11.815896,6.23,G8III,HD187259,HIP97473,
8 zet Sge,297.244416,19.142042,5.03,A3V,HD187362,HIP97496,
chi Cyg,297.641339,32.914049,4.24,S6-9/1-2e,HD187796,HIP97629,
19 Cyg,297.641648,38.722418,5.12,M2III,HD187849,HIP97630,
V380 Cyg,297.655528,40.599760,5.68,B1.1III+B2.5/3V:,HD187879,HIP97634,
20 d Cyg,297.657181,52.987997,5.03,K3IIICN2,HD188056,HIP97635,
51 Aql,297.694933,-10.763509,5.39,F5VFe-1CH-0.7,HD187532,HIP97650,
53 alf Aql,297.695827,8.868321,0.76,A7Vn,HD187642,HIP97649,Altair
54 omi Aql,297.756849,10.415720,5.11,F8V,HD187691,HIP97675,
12 Vul,297.767118,22.610048,4.96,B2.5Ve,HD187811,HIP97679,
57 Sgr,298.050017,-19.045002,5.90,K0III,HD187739,HIP97783,
9 Sge,298.090687,18.671875,6.23,O7.5Iabf,HD188001,HIP97796,
55 eta Aql,298.118204,1.005659,3.80,F6Iab+B9.8V,HD187929,HIP97804,
23 Cyg,298.322409,57.523474,5.13,B5V,HD188665,HIP97870,
13 Vul,298.365399,24.079613,4.64,B9.5III,HD188260,HIP97886,
56 Aql,298.534486,-8.574211,5.79,K5III,HD188154,HIP97928,
59 ksi Aql,298.562006,8.461454,4.71,G9.5IIIb,HD188310,HIP97938,
57 Aql,298.656885,-8.227289,5.71,B7Vn,HD188293,HIP97966,
57 Aql,298.658596,-8.237053,6.44,B8V,HD188294,HIP97967,
58 Aql,298.686645,0.273625,5.63,B9IV,HD188350,HIP97980,
iot Sgr,298.815404,-41.868289,4.13,K0II/III,HD188114,HIP98032,
60 bet Aql,298.828304,6.406764,3.71,G8IV,HD188512,HIP98036,Alshain
24 psi Cyg,298.907452,52.438939,5.02,A4Vn,HD189037,HIP98055,
58 ome Sgr,298.959844,-26.299359,4.70,G5IV,HD188376,HIP98066,Terebellum
22 Cyg,298.965670,38.486719,4.95,B5IV,HD188892,HIP98068,
10 S Sge,299.005262,16.634795,5.36,F7Ib,HD188727,HIP98085,
61 phi Aql,299.059383,11.423723,5.28,A1IV,HD188728,HIP98103,
21 eta Cyg,299.076549,35.083423,3.88,K0III,HD188947,HIP98110,
59 b01 Sgr,299.236799,-27.169900,4.53,K2.5IIb,HD188603,HIP98162,Terebellum
11 Sge,299.439356,16.789161,5.53,B9III,HD189090,HIP98234,
61 g Sgr,299.487623,-15.491468,5.00,A2V,HD188899,HIP98258,
12 gam Sge,299.689284,19.492146,3.47,M0-III,HD189319,HIP98337,
60 A Sgr,299.738342,-26.195762,4.85,G6III,HD189005,HIP98353,Terebellum
14 Vul,299.793903,23.101279,5.66,F0,HD189410,HIP98375,
69 Dra,299.902612,76.481393,6.20,M3III,HD190960,HIP98401,
tet01 Sgr,299.934076,-35.276307,4.37,B3IV,HD189103,HIP98412,
tet02 Sgr,299.963988,-34.697799,5.30,A4/5IV,HD189118,HIP98421,
25 Cyg,299.979981,37.042885,5.19,B3IVe,HD189687,HIP98425,
13 Sge,300.013783,17.516508,5.35,M3/5III,HD189577,HIP98438,
mu.01 Pav,300.096223,-66.949421,5.76,K0III,HD188584,HIP98478,
eps Pav,300.148148,-72.910505,3.94,A0Va,HD188228,HIP98495,
15 Vul,300.275202,27.753573,4.65,A4III,HD189849,HIP98543,
26 e Cyg,300.339847,50.104693,5.05,G8III,HD190147,HIP98571,
64 e Dra,300.368935,64.820976,5.27,M1III,HD190544,HIP98583,
mu.02 Pav,300.468591,-66.943964,5.33,K2IVCNII,HD188887,HIP98624,
63 Sgr,300.494164,-13.637215,5.69,A1IV,HD189741,HIP98633,
16 Vul,300.505965,24.938043,5.22,F2III,HD190004,HIP98636,
65 Dra,300.584238,64.634420,6.25,G7III:,HD190713,HIP98658,
62 c Sgr,300.664504,-27.709846,4.58,M4.5III,HD189763,HIP98688,Terebellum
67 rho Dra,300.704470,67.873564,4.50,K2+IIICN1Ca1,HD190940,HIP98702,
14 Sge,300.875061,16.031252,5.66,B9pHgMn,HD190229,HIP98754,
15 Sge,301.025920,17.070188,5.79,G0V,HD190406,HIP98819,
63 tau Aql,301.034645,7.277964,5.51,K0III,HD190327,HIP98823,
62 Aql,301.096462,-0.709308,5.68,K3III,HD190299,HIP98844,
16 eta Sge,301.289554,19.991073,5.09,K2III,HD190608,HIP98920,
65 Sgr,301.359729,-12.665165,6.53,A0V,HD190454,HIP98953,
66 Dra,301.386991,61.995420,5.41,K3III,HD191277,HIP98962,
27 b01 Cyg,301.590697,35.972469,5.36,G8.5IVa,HD191026,HIP99031,
17 Vul,301.722532,23.614425,5.06,B3V,HD190993,HIP99080,
ksi Tel,301.846489,-52.880793,4.94,K5III,HD190421,HIP99120,
64 Aql,302.007593,-0.678185,5.97,K1III/IV,HD191067,HIP99171,
del Pav,302.181704,-66.182067,3.56,G8IV,HD190248,HIP99240,
1 kap Cep,302.222286,77.711421,4.40,B9III,HD192907,HIP99255,
28 b02 Cyg,302.356746,36.839621,4.93,B2.5Ve,HD191610,HIP99303,
17 tet Sge,302.486029,20.915027,6.52,F3V,HD191570,HIP99352,
18 Vul,302.639738,26.904168,5.51,A3III,HD191747,HIP99404,
65 tet Aql,302.826189,-0.821462,3.22,B9.5III,HD191692,HIP99473,
68 Dra,302.895299,62.078548,5.70,F5V,HD192455,HIP99500,
19 Vul,302.949892,26.808991,5.49,K2IIIaCa0.5,HD192004,HIP99518,
1 ksi01 Cap,302.991242,-12.392402,6.34,K0III,HD191753,HIP99529,
20 Vul,303.002923,26.478807,5.92,B7Ve,HD192044,HIP99531,
2 ksi Cap,303.107794,-12.617498,5.85,F7VFe-0.5,HD191862,HIP99572,
66 Aql,303.307854,-1.009363,5.47,K4III,HD192107,HIP99631,
30 Cyg,303.325224,46.815675,4.82,A5IIIn,HD192514,HIP99639,
33 Cyg,303.349444,56.567722,4.27,A3IV-Vn,HD192696,HIP99655,
31 omi01 Cyg,303.407951,46.741323,3.80,K3Ib+B2IV-V,HD192577,HIP99675,
21 Vul,303.560540,28.694817,5.19,A7IVn,HD192518,HIP99738,
67 rho Aql,303.569245,15.197607,4.95,A1Va,HD192425,HIP99742,
29 b03 Cyg,303.633468,36.806306,4.99,A2V,HD192640,HIP99770,
32 omi02 Cyg,303.868018,47.714226,3.98,K7Ib-II+B1V,HD192909,HIP99848,
22 Vul,303.875994,23.508903,5.18,G3Ib-II,HD192713,HIP99853,
23 Vul,303.942263,27.814199,4.52,K3-IIIFe-1,HD192806,HIP99874,
18 Sge,304.082451,21.598702,6.11,K1III,HD192836,HIP99913,
3 Cap,304.095024,-12.337119,6.30,B9IV,HD192666,HIP99918,
24 Vul,304.196193,24.671101,5.30,G8III,HD192944,HIP99951,
5 alf01 Cap,304.411955,-12.508212,4.27,G3Ib,HD192876,HIP100027,Prima Giedi
34 P Cyg,304.446675,38.032931,4.82,B1-2Ia-0ep,HD193237,HIP100044,
4 Cap,304.505820,-21.809958,5.85,G8III,HD192879,HIP100062,
6 alf02 Cap,304.513565,-12.544852,3.58,G9III,HD192947,HIP100064,Secunda Giedi
36 Cyg,304.619397,36.999804,5.58,A2V,HD193369,HIP100108,
35 Cyg,304.662800,34.982771,5.16,F6Ib,HD193370,HIP100122,
7 sig Cap,304.848351,-19.118525,5.26,K2III,HD193150,HIP100195,
71 Dra,304.903030,62.257444,5.71,B9V,HD193964,HIP100221,
AC Dra,305.025049,68.880318,5.55,M4.5-M5III,HD194258,HIP100261,
8 nu. Cap,305.165899,-12.759081,4.76,B9IV,HD193432,HIP100310,Alshat
bet02 Cap,305.193950,-14.784890,6.10,B9/A0III/IV,HD193452,HIP100325,
9 bet Cap,305.252777,-14.781408,3.08,G9II:+B8p:Si:,HD193495,HIP100345,Dabih
25 Vul,305.514293,24.446101,5.56,B6IVe,HD193911,HIP100435,
37 gam Cyg,305.557091,40.256679,2.23,F8Ib,HD194093,HIP100453,Sadr
kap01 Sgr,305.614593,-42.049562,5.59,A0V,HD193571,HIP100469,
39 Cyg,305.965057,32.190134,4.44,K2.5IIIFe-0.5,HD194317,HIP100587,
kap02 Sgr,305.971569,-42.422872,5.64,A5V,HD193807,HIP100591,
alf Pav,306.411904,-56.735090,1.92,B2IV,HD193924,HIP100751,Peacock
43 Cyg,306.759448,49.383362,5.71,F0V:,HD195068,HIP100859,
10 pi. Cap,306.830008,-18.211694,5.14,B3/5V,HD194636,HIP100881,Okul
40 Cyg,306.892746,38.440351,5.62,A3V,HD195050,HIP100907,
75 Dra,307.060766,81.422708,5.37,G9III,HD196787,HIP100965,
68 Aql,307.103769,-3.357791,6.12,B9V:,HD194939,HIP100977,
11 rho Cap,307.215060,-17.813686,4.78,F2V,HD194943,HIP101027,
42 Cyg,307.334959,36.454727,5.90,A2Iab-Ib,HD195324,HIP101067,
41 Cyg,307.348898,30.368555,4.01,F5Ib-II,HD195295,HIP101076,
74 Dra,307.364846,81.091276,5.96,K0II,HD196925,HIP101082,
2 tet Cep,307.395439,62.994110,4.22,A7III,HD195725,HIP101093,
69 Aql,307.412500,-2.885528,4.90,K1/2III,HD195135,HIP101101,
12 omi Cap,307.469141,-18.586360,6.74,A7/8V,HD195093,HIP101120,
12 omi Cap,307.474623,-18.583184,5.90,A1V,HD195094,HIP101123,
45 ome01 Cyg,307.514754,48.951567,4.94,B2.5IV,HD195556,HIP101138,Ruchba
1 Del,307.574836,10.895923,6.08,A1:III,HD195325,HIP101160,
44 Cyg,307.746788,36.935840,6.22,F5Ib,HD195593,HIP101214,
46 ome02 Cyg,307.828402,49.220295,5.44,M2III,HD195774,HIP101243,Ruchba
73 Dra,307.876695,74.954626,5.18,A9:VpCrSrEu,HD196502,HIP101260,
2 eps Del,308.303220,11.303266,4.03,B6IV,HD195810,HIP101421,Deneb Dulfim
47 Cyg,308.475784,35.250844,4.64,K6:Ib+B2.5:,HD196093,HIP101474,
nu. Mic,308.479469,-44.516046,5.12,K0III,HD195569,HIP101477,
3 eta Del,308.487675,13.027204,5.38,A3IVs,HD195943,HIP101483,
4 zet Del,308.827234,14.674215,4.65,A3Va,HD196180,HIP101589,
phi01 Pav,308.895209,-60.581749,4.75,F0V,HD195627,HIP101612,
26 Vul,309.034745,25.882657,6.41,A5III,HD196362,HIP101641,
70 Aql,309.181805,-2.549955,4.88,K4+IIIBa1,HD196321,HIP101692,
27 Vul,309.269468,26.461946,5.58,B8V,HD196504,HIP101716,
13 tau01 Cap,309.338325,-15.147338,6.76,K1III,HD196348,HIP101751,
48 Cyg,309.382407,31.572540,6.30,B8IIIn,HD196606,HIP101765,
6 bet Del,309.387255,14.595089,3.63,F5IV,HD196524,HIP101769,Rotanev
alf Ind,309.391800,-47.291501,3.11,K0III-IV,HD196171,HIP101772,
rho Pav,309.397135,-61.529921,4.85,Fm_dD,HD195961,HIP101773,
5 iot Del,309.454666,11.377675,5.42,A1IV,HD196544,HIP101800,
71 l Aql,309.584519,-1.105117,4.33,G7.5IIIa,HD196574,HIP101847,
29 Vul,309.630579,21.201163,4.82,A0Va(_sh),HD196724,HIP101867,
28 Vul,309.632977,24.115959,5.05,B5IV,HD196740,HIP101868,
8 tet Del,309.683277,13.315127,5.71,K3Ib,HD196725,HIP101882,
7 kap Del,309.782445,10.086192,5.05,G2IV,HD196755,HIP101916,
14 tau Cap,309.817991,-14.954760,5.22,B7III,HD196662,HIP101923,
1 Aqr,309.853720,0.486432,5.15,K0III,HD196758,HIP101936,
9 alf Del,309.909498,15.912160,3.80,B9IV,HD196867,HIP101958,Svalocin
phi02 Pav,310.010990,-60.548894,5.12,G0VFe-0.8CH-0.5,HD196378,HIP101983,
15 ups Cap,310.012268,-18.138657,5.10,M1III,HD196777,HIP101984,
49 Cyg,310.261238,32.307826,8.09,B9.9,HD197178,,
49 Cyg,310.260593,32.307289,5.64,G8IIb,HD197177,HIP102066,
10 Del,310.317533,14.582878,6.00,K4III:,HD197121,HIP102080,
50 alf Cyg,310.357980,45.280339,1.25,A2Ia,HD197345,HIP102098,Deneb
mu.02 Oct,310.433757,-75.350801,6.44,G0V,HD196067,HIP102125,
ups Pav,310.487819,-66.760681,5.13,B9III,HD196519,HIP102157,
mu.01 Oct,310.512447,-76.180592,5.98,F6II/III,HD196051,HIP102162,
51 Cyg,310.552627,50.340019,5.40,B2V,HD197511,HIP102177,
76 Dra,310.646817,82.531157,5.75,A0V,HD199095,HIP102208,
4 Cep,310.795921,66.657447,5.60,A8V,HD197950,HIP102253,
X Cyg,310.850799,35.587799,6.47,F7Ib,HD197572,HIP102276,
11 del Del,310.864723,15.074579,4.42,kA7hF1VmF1pSrEuCr:,HD197461,HIP102281,
eta Ind,311.009725,-51.920970,4.50,A9IV,HD197157,HIP102333,
30 Vul,311.218803,25.270630,4.91,K1III,HD197752,HIP102388,
bet Pav,311.239557,-66.203212,3.41,A7III,HD197051,HIP102395,
3 eta Cep,311.322398,61.838782,3.41,K0IV,HD198149,HIP102422,
ups01 Cep,311.338037,57.579724,4.51,F8IV-V+F9IV-V,HD198084,HIP102431,
U Del,311.367649,18.090038,6.38,M4-6II-III,HD197812,HIP102440,
52 Cyg,311.415638,30.719715,4.23,K0IIIa,HD197912,HIP102453,
16 psi Cap,311.523887,-25.270898,4.12,F5V,HD197692,HIP102485,
17 Cap,311.541617,-21.514036,5.90,A1V,HD197725,HIP102487,
53 eps Cyg,311.552801,33.970328,2.48,K0III,HD197989,HIP102488,Gienah
12 gam01 Del,311.661921,16.124128,4.96,F8V,HD197963,HIP102531,
12 gam02 Del,311.664583,16.124294,4.25,K1IV,HD197964,HIP102532,
T Cyg,311.794801,34.374123,4.93,K3III,HD198134,HIP102571,
54 lam Cyg,311.852240,36.490715,4.54,B5V,HD198183,HIP102589,
2 eps Aqr,311.918957,-9.495777,3.77,B9.5V,HD198001,HIP102618,Albali
3 k Aqr,311.934329,-5.027701,4.44,M3III,HD198026,HIP102624,
13 Del,311.951388,6.008209,5.64,A0V,HD198069,HIP102633,
iot Mic,312.121470,-43.988484,5.10,F2V,HD197937,HIP102693,
55 Cyg,312.234548,46.114134,4.86,B4Ia,HD198478,HIP102724,
sig Pav,312.325715,-68.776521,5.41,K0III,HD197635,HIP102773,
zet Ind,312.370677,-46.226827,4.88,K5III,HD198048,HIP102790,
15 Del,312.407364,12.545127,5.99,F5V,HD198390,HIP102805,
14 Del,312.451085,7.864187,6.32,A1Vs,HD198391,HIP102819,
alf Mic,312.492004,-33.779704,4.89,G8III,HD198232,HIP102831,
56 Cyg,312.520549,44.059303,5.04,A6V,HD198639,HIP102843,
4 Aqr,312.857284,-5.626631,6.07,F7IV+F6:V:,HD198571,HIP102945,
T Vul,312.867660,28.250505,5.77,F5Ib+A0.8V,HD198726,HIP102949,
iot Ind,312.875212,-51.608179,5.04,K1II/III,HD198308,HIP102950,
18 ome Cap,312.955377,-26.919135,4.12,M0IIIBa0.5,HD198542,HIP102978,
bet Mic,312.994841,-33.177974,6.05,A1IV,HD198529,HIP102989,
31 Vul,313.032043,27.096944,4.57,G7IIIFe-1,HD198809,HIP103004,
5 Aqr,313.036224,-5.507058,5.55,B9III,HD198667,HIP103005,
6 mu. Aqr,313.163470,-8.983319,4.72,A3II,HD198743,HIP103045,
57 Cyg,313.311495,44.387263,4.77,B5V,HD199081,HIP103089,
BW Vul,313.593311,28.521997,6.54,B2IIIv,HD199140,HIP103191,
32 Vul,313.640163,28.057624,5.01,K4III,HD199169,HIP103200,
19 Cap,313.699235,-17.922895,5.78,K0III,HD199012,HIP103226,
bet Ind,313.702512,-58.454156,3.65,K1II,HD198700,HIP103227,
17 Del,313.902871,13.721536,5.18,K0III,HD199253,HIP103294,
16 Del,313.910708,12.568577,5.54,A5V,HD199254,HIP103298,
7 Aqr,314.225111,-9.697542,5.48,K4III,HD199345,HIP103401,
58 nu. Cyg,314.293413,41.167139,3.94,A0IIIn,HD199629,HIP103413,
33 Vul,314.568128,22.325907,5.29,K3.5III,HD199697,HIP103511,
18 Del,314.608056,10.839286,5.51,G6III,HD199665,HIP103527,
1 eps Equ,314.768647,4.293478,5.23,F5(V)+F6(V),HD199766,HIP103569,
20 Cap,314.900582,-19.035279,6.25,ApSi,HD199728,HIP103616,
59 f01 Cyg,314.956476,47.520934,4.75,B1.5Vnne,HD200120,HIP103632,
11 Aqr,315.141003,-4.730260,6.19,G1V,HD199960,HIP103682,
60 Cyg,315.295532,46.155776,5.43,B1Ve,HD200310,HIP103732,
gam Mic,315.322785,-32.257730,4.65,G8III,HD199951,HIP103738,
2 lam Equ,315.552094,7.179765,6.70,F8,HD200256,HIP103813,
zet Mic,315.741471,-38.631444,5.30,F5V,HD200163,HIP103882,
12 Aqr,316.019487,-5.823717,7.50,A3V,HD200496,HIP103981,
12 Aqr,316.019685,-5.823060,5.80,K0/1III,HD200497,,
22 eta Cap,316.101237,-19.855092,4.84,A5V,HD200499,HIP104019,Arm
3 Equ,316.144382,5.502864,5.58,K5III,HD200644,HIP104031,
alf Oct,316.179428,-77.023768,5.15,F6(m)pec,HD199532,HIP104043,
62 ksi Cyg,316.232760,43.927851,3.73,K4.5Ib-II,HD200905,HIP104060,
mu. Ind,316.309370,-54.727042,5.16,K2III,HD200365,HIP104085,
4 Equ,316.361265,5.958301,5.94,F8V,HD200790,HIP104101,
77 Dra,316.371940,78.126391,5.91,B8Vn,HD201908,HIP104105,
23 tet Cap,316.486785,-17.232863,4.07,A1V,HD200761,HIP104139,
del Mic,316.504742,-30.125145,5.69,K0/1III,HD200718,HIP104148,
2 PsA,316.602822,-32.341619,5.20,K2III,HD200763,HIP104174,
eta Mic,316.606333,-41.385964,5.50,K3III,HD200702,HIP104177,
DT Cyg,316.626018,31.184656,5.82,F7II-,HD201078,HIP104185,
63 f02 Cyg,316.650391,47.648403,4.51,K4Ib-IIa,HD201251,HIP104194,
61 Cyg,316.724748,38.749417,5.21,K5V,HD201091,HIP104214,
61 Cyg,316.730266,38.742044,6.03,K7V,HD201092,HIP104217,
24 A Cap,316.781947,-25.005855,4.50,M1-III,HD200914,HIP104234,
25 chi Cap,317.140104,-21.193671,5.32,A0Van,HD201184,HIP104365,
V389 Cyg,317.162041,30.205637,5.59,B9V,HD201433,HIP104371,
sig Oct,317.195265,-88.956500,5.42,F0IV,HD177482,HIP104382,Polaris Australis
T Cep,317.382431,68.490898,7.33,M6-9e,HD202012,,
27 Cap,317.387497,-20.556661,6.24,F2IV/V,HD201352,HIP104452,
13 nu. Aqr,317.398535,-11.371690,4.52,K0III,HD201381,HIP104459,
5 gam Equ,317.585417,10.131581,4.68,A9VpSrCrEu,HD201601,HIP104521,
6 Equ,317.630484,10.048913,6.06,A2Va,HD201616,HIP104538,
64 zet Cyg,318.234108,30.226899,3.21,G8+III-IIIaBa0.5,HD202109,HIP104732,
3 PsA,318.322197,-27.619364,5.39,K3III,HD201901,HIP104750,
omi Pav,318.335434,-70.126255,5.07,M1/2III,HD201371,HIP104755,
7 del Equ,318.620064,10.006979,4.49,F7(V)+G0(V),HD202275,HIP104858,
65 tau Cyg,318.697886,38.045318,3.73,F2IV,HD202444,HIP104887,
28 phi Cap,318.907915,-20.651695,5.15,K0II/III,HD202320,HIP104963,
29 Cap,318.936843,-15.171501,5.32,M2III,HD202369,HIP104974,
8 alf Equ,318.955988,5.247892,3.93,G6IV+B9.5V,HD202447,HIP104987,Kitalpha
67 sig Cyg,319.353969,39.394681,4.24,A0Ia,HD202850,HIP105102,
66 ups Cyg,319.479524,34.896896,4.42,B2Vne,HD202904,HIP105138,
eps Mic,319.484525,-32.172548,4.71,A0V,HD202627,HIP105140,
30 Cap,319.488694,-17.985139,5.38,B5II/III,HD202671,HIP105143,
15 Aqr,319.546136,-4.519480,5.81,B7III,HD202753,HIP105164,
31 Cap,319.565285,-17.462254,7.05,F0V,HD202723,HIP105168,
68 A Cyg,319.613276,43.945944,5.00,O7.5IIIn((f)),HD203064,HIP105186,
5 alf Cep,319.644885,62.585574,2.46,A8Vn,HD203280,HIP105199,Alderamin
6 Cep,319.842584,64.871856,5.18,B3IVe,HD203467,HIP105268,
tet Ind,319.966623,-53.449426,4.48,A5IV-V,HD202730,HIP105319,
tet01 Mic,320.190081,-40.809617,4.82,ApCrEuSr,HD203006,HIP105382,
16 Aqr,320.267997,-4.560125,5.85,G8III,HD203222,HIP105412,
34 Vul,320.268308,23.855969,5.57,K1III,HD203344,HIP105411,
9 Equ,320.270108,7.354504,5.80,M2III,HD203291,HIP105413,
1 Peg,320.521665,19.804510,4.09,K1III,HD203504,HIP105502,
32 iot Cap,320.561650,-16.834544,4.27,G7IIIFe-1.5,HD203387,HIP105515,
10 bet Equ,320.723389,6.811140,5.15,A3V,HD203562,HIP105570,
17 Aqr,320.734410,-9.319328,5.96,K4/5III,HD203525,HIP105574,
33 Cap,321.039972,-20.851870,5.37,K0III,HD203638,HIP105665,
18 Aqr,321.047883,-12.878109,5.48,F0V,HD203705,HIP105668,
Y Pav,321.069791,-69.733878,6.41,C7,3,HD203133,HIP105678,
tet02 Mic,321.103408,-41.006695,5.78,ApSi,HD203585,HIP105696,
20 Aqr,321.215313,-3.398356,6.38,F0V,HD203843,HIP105729,
19 Aqr,321.304262,-9.748557,5.71,A8V,HD203875,HIP105761,
