id,alpha,delta,diameter,constellation,catalog,sharpless,gum,rcw
Sh 2-213,65.1707083333333,44.9193333333333,1,Perseus,Sharpless,213,,
Sh 2-214,65.3885416666667,44.3686111111111,4,Perseus,Sharpless,214,,
Sh 2-215,64.3924583333333,42.6066111111111,2,Perseus,Sharpless,215,,
Sh 2-216,71.2445416666667,46.8052222222222,80,Perseus,Sharpless,216,,
Sh 2-217,74.6880833333333,47.9863333333333,9,Auriga,Sharpless,217,,
Sh 2-219,74.058,47.3947222222222,3,Auriga,Sharpless,219,,
Sh 2-218,85.330375,52.1732222222222,70,Auriga,Sharpless,218,,
BFS 43,73.7327083333333,46.6650833333333,15,Auriga,BFS,,,
LBN 749,55.2580416666667,32.1444722222222,121.42,Perseus,LBN,,,
Siv 4,58.3447083333333,34.9994166666667,608.46,Perseus,Siv,,,
BFS 44,72.918875,45.5850277777778,5,Auriga,BFS,,,
Sh 2-220,60.3201666666667,36.4013333333333,320,Perseus,Sharpless,220,,
Sh 2-221,75.4736666666667,46.3259166666667,120,Auriga,Sharpless,221,,
Sh 2-222,67.5502916666667,35.2615555555556,6,Perseus,Sharpless,222,,
Sh 2-223,79.63075,41.9361666666667,98.34,Auriga,Sharpless,223,,
Sh 2-224,81.5284166666667,42.8813055555556,30,Auriga,Sharpless,224,,
BFS 45,77.5205833333333,38.8289166666667,0.5,Auriga,BFS,,,
Sh 2-225,81.75975,40.6078333333333,10,Auriga,Sharpless,225,,
Sh 2-226,77.7586666666667,37.9853055555556,3,Auriga,Sharpless,226,,
GMN 30,81.787625,39.9640833333333,103.96,Auriga,GMN,,,
Sh 2-227,79.9575833333333,38.9476388888889,20,Auriga,Sharpless,227,,
Sh 2-228,78.3662916666667,37.4448333333333,8,Auriga,Sharpless,228,,
DU 74,83.709875,40.0591666666667,25.98,Auriga,DU,,,
DU 75,82.1613333333333,38.1879166666667,88.22,Auriga,DU,,,
DU 76,81.9802916666667,37.1901111111111,21.5,Auriga,DU,,,
Sh 2-229,79.0757916666667,34.4488888888889,65,Auriga,Sharpless,229,,
Sh 2-230,80.6319583333333,34.1281666666667,300,Auriga,Sharpless,230,,
Sh 2-233,84.71825,35.8639166666667,2,Auriga,Sharpless,233,,
Sh 2-231,84.8397916666667,35.9139722222222,12,Auriga,Sharpless,231,,
Sh 2-234,82.025625,34.4251111111111,12,Auriga,Sharpless,234,,
Sh 2-236,80.4284583333333,33.4904722222222,77.5,Auriga,Sharpless,236,,
Sh 2-232,85.6192916666667,36.1881666666667,40,Auriga,Sharpless,232,,
GMN 31,45.7804583333333,4.01505555555556,96.88,Cetus,GMN,,,
Sh 2-235,85.2582083333333,35.843,10,Auriga,Sharpless,235,,
BFS 46,85.2250416666667,35.6968888888889,0.3,Auriga,BFS,,,
BFS 47,85.2066666666667,35.6640833333333,0.7,Auriga,BFS,,,
Sh 2-237,82.9081666666667,34.2475555555556,7,Auriga,Sharpless,237,,
Sh 2-238,65.5097916666667,19.5323055555556,1,Taurus,Sharpless,238,,
DU 77,81.636375,29.0619166666667,128.4,Auriga,DU,,,
LBN 818,84.8031666666667,30.7445,19.76,Auriga,LBN,,,
Sh 2-239,67.8214166666667,18.1024166666667,5,Taurus,Sharpless,239,,
Sh 2-240,85.2654166666667,28.0833611111111,180,Taurus,Sharpless,240,,
Sh 2-241,91.0282916666667,30.2421944444444,10,Auriga,Sharpless,241,,
Sh 2-242,87.957375,27.00675,7,Taurus,Sharpless,242,,
BFS 48,87.8302916666667,25.7296111111111,0.5,Taurus,BFS,,,
BFS 49,90.4914583333333,26.4126388888889,0.5,Gemini,BFS,,,
Sh 2-243,84.8396666666667,23.2764166666667,6,Taurus,Sharpless,243,,
DU 79,89.3904583333333,25.6228333333333,142.94,Taurus,DU,,,
DU 78,86.1152916666667,23.8328055555556,63.56,Taurus,DU,,,
Sh 2-244,83.6432916666667,21.9703611111111,5,Taurus,Sharpless,244,,
BFS 50,87.5625833333333,23.8510555555556,0.3,Taurus,BFS,,,
DU 80,86.1607916666667,21.4001944444444,103.22,Taurus,DU,,,
Sh 2-245,60.6345833333333,4.11877777777778,720,Taurus,Sharpless,245,,
GMN 32,91.787875,23.79,30.96,Gemini,GMN,,,
GMN 33,91.2756666666667,23.4514444444444,22.9,Gemini,GMN,,,
Sh 2-246,75.5265416666667,14.0891388888889,65,Orion,Sharpless,246,,
GMN 34,80.3088333333333,16.9977222222222,446.64,Taurus,GMN,,,
DU 81,96.14775,25.4008888888889,142.94,Gemini,DU,,,
DU 82,88.4789583333333,21.0047777777778,142.94,Orion,DU,,,
BFS 51,94.688625,23.3633611111111,10,Gemini,BFS,,,
Sh 2-247,92.1235416666667,21.609,9,Gemini,Sharpless,247,,
Sh 2-249,95.2357916666667,23.0765833333333,80,Gemini,Sharpless,249,,
Sh 2-248,94.2094583333333,22.4708333333333,50,Gemini,Sharpless,248,,
Sh 2-250,70.0500833333333,7.36908333333333,10,Taurus,Sharpless,250,,
Sh 2-251,68.2165416666667,5.85280555555556,35,Taurus,Sharpless,251,,
Sh 2-252,92.4979583333333,20.6965833333333,40,Orion,Sharpless,252,,
GMN 35,98.4151666666667,21.8487777777778,645.36,Gemini,GMN,,,
DU 84,93.5000416666667,18.9834166666667,53.3,Orion,DU,,,
BFS 52,93.6897083333333,19.0160277777778,1,Orion,BFS,,,
DU 83,95.7985,19.87875,192.88,Gemini,DU,,,
Sh 2-253,96.438375,20.0235277777778,5,Gemini,Sharpless,253,,
Sh 2-254,93.0753333333333,18.0375555555556,11,Orion,Sharpless,254,,
Sh 2-257,93.2097083333333,17.9706944444444,3,Orion,Sharpless,257,,
[C51] 121,83.1507916666667,12.3437777777778,81.86,Orion,[C51],,,
Sh 2-256,93.1594166666667,17.9331388888889,1,Orion,Sharpless,256,,
Sh 2-255,93.2801666666667,17.9731388888889,3,Orion,Sharpless,255,,
Sh 2-258,93.3808333333333,17.9229166666667,1,Orion,Sharpless,258,,
Sh 2-259,92.906625,17.43625,2,Orion,Sharpless,259,,
Sh 2-260,73.7951666666667,5.66083333333333,22,Orion,Sharpless,260,,
Sh 2-261,92.28375,15.7836666666667,45,Orion,Sharpless,261,,
Sh 2-262,76.6947083333333,6.16558333333333,20,Orion,Sharpless,262,,
Sh 2-263,80.4338333333333,8.40075,22,Orion,Sharpless,263,,
DU 85,98.9166666666666,18.2455555555556,207.58,Gemini,DU,,,
Sh 2-264,83.8155416666667,9.93172222222222,390,Orion,Sharpless,264,,
Sh 2-265,79.6428333333333,7.41825,70,Orion,Sharpless,265,,
[GH2013] G195.60-02.25,92.0448333333333,14.1471944444444,55.06,Orion,[GH2013],,,
DU 86,94.9164166666667,15.4241111111111,19.2,Orion,DU,,,
Sh 2-266,94.7169166666667,15.2841666666667,1,Orion,Sharpless,266,,
Sh 2-267,93.9622916666666,14.2773888888889,4,Orion,Sharpless,267,,
Sh 2-268,92.6547083333333,13.3657222222222,60,Orion,Sharpless,268,,
Sh 2-269,93.607375,13.8633333333333,4,Orion,Sharpless,269,,
Eri-Ori Bubble,76.6465416666667,3.82155555555556,3744.2,Orion,,,,
Sh 2-270,92.5517083333333,12.8021111111111,1,Orion,Sharpless,270,,
DU 88,94.1880833333333,13.5056111111111,74.62,Orion,DU,,,
DU 87,96.3314166666667,14.5118333333333,90.66,Orion,DU,,,
Sh 2-271,93.7268333333333,12.3689722222222,2,Orion,Sharpless,271,,
Sh 2-272,93.7732916666667,12.3480833333333,1,Orion,Sharpless,272,,
[C51] 139,96.7543333333333,12.1070555555556,153.66,Gemini,[C51],,,
[C51] 143,99.0204583333333,12.2023055555556,77.42,Gemini,[C51],,,
[C51] 127,85.072125,3.62183333333333,88.78,Orion,[C51],,,
[C51] 132,88.4060833333333,4.24719444444444,239.9,Orion,[C51],,,
Sh 2-273,100.211125,9.89725,250,Monoceros,Sharpless,273,,
[C51] 141,97.8499166666666,7.22625,134.44,Monoceros,[C51],,,
Ge 204.2+0.4,99.8862916666667,8.22741666666667,77.42,Monoceros,Ge,,,
GMN 36,99.8885833333333,8.20322222222222,555.44,Monoceros,GMN,,,
[C51] 123,83.2632916666667,-1.36377777777778,65.72,Orion,[C51],,,
Sh 2-274,112.341875,13.2178888888889,8,Gemini,Sharpless,274,,
Sh 2-275,98.05975,4.94466666666667,100,Monoceros,Sharpless,275,,
[C51] 146,100.735958333333,5.92816666666667,134.44,Monoceros,[C51],,,
Sh 2-276,81.8664583333333,-3.95763888888889,1200,Orion,Sharpless,276,,
Sh 2-277,84.8877916666667,-2.53411111111111,142.94,Orion,Sharpless,277,,
Sh 2-278,79.9419583333333,-5.64891666666667,50,Orion,Sharpless,278,,
Sh 2-279,83.8404583333333,-4.78447222222222,20,Orion,Sharpless,279,,
Sh 2-280,98.5815,2.52519444444444,40,Monoceros,Sharpless,280,,
Sh 2-281,83.740875,-5.44927777777778,60,Orion,Sharpless,281,,
Sh 2-282,99.4977083333333,1.49108333333333,35,Monoceros,Sharpless,282,,
Sh 2-283,99.622625,0.701472222222222,3,Monoceros,Sharpless,283,,
BFS 53,101.143208333333,1.13383333333333,2,Monoceros,BFS,,,
BFS 54,101.727416666667,1.30980555555556,3,Monoceros,BFS,,,
[C51] 119,81.8454166666667,-9.13725,110.64,Orion,[C51],,,
[C51] 133,88.2983333333333,-6.20608333333333,192.34,Orion,[C51],,,
Sh 2-284,101.268666666667,0.231861111111111,80,Monoceros,Sharpless,284,,
[C51] 131,85.5821666666667,-8.56844444444444,92.36,Orion,[C51],,,
[C51] 124,83.6585,-9.56102777777778,110.64,Orion,[C51],,,
GMN 37,102.627708333333,-0.488972222222222,101.68,Monoceros,GMN,,,
Sh 2-285,103.811708333333,-0.498694444444444,1,Monoceros,Sharpless,285,,
BFS 55,104.314166666667,-2.81469444444444,25,Monoceros,BFS,,,
Siv 5,105.142541666667,-2.82983333333333,123.08,Monoceros,Siv,,,
BFS 56,104.814333333333,-3.9185,0.3,Monoceros,BFS,,,
Sh 2-286,103.641125,-4.52975,6,Monoceros,Sharpless,286,,
Siv 6,104.182875,-4.27444444444445,72.26,Monoceros,Siv,,,
BFS 57,104.824208333333,-4.00336111111111,1,Monoceros,BFS,,,
BFS 58,105.230458333333,-3.85122222222222,3,Monoceros,BFS,,,
BFS 59,104.8585,-4.26686111111111,3,Monoceros,BFS,,,
Sh 2-287,104.891208333333,-4.78977777777778,12,Monoceros,Sharpless,287,,
Sh 2-288,107.141666666667,-4.29622222222222,1,Monoceros,Sharpless,288,,
Sh 2-289,101.483666666667,-7.32475,11,Monoceros,Sharpless,289,,
Sh 2-290,133.55075,8.9275,17,Cancer,Sharpless,290,,
BFS 60,102.481166666667,-7.64019444444444,1,Monoceros,BFS,,,
Sh 2-291,103.850791666667,-8.01438888888889,8,Monoceros,Sharpless,291,,
BFS 61,104.522875,-7.93247222222222,1,Monoceros,BFS,,,
BFS 62,104.92325,-7.78547222222222,2,Monoceros,BFS,,,
BFS 63,104.309541666667,-8.33222222222222,10,Monoceros,BFS,,,
BFS 64,105.137416666667,-8.85619444444444,5,Monoceros,BFS,,,
GMN 38,76.2034583333333,-22.4256944444444,46.38,Lepus,GMN,,,
RCW 1b,107.59375,-9.58422222222222,150,Monoceros,RCW,,,1b
Sh 2-292,106.111833333333,-10.4413055555556,21,Monoceros,Sharpless,292,1,2
Sh 2-293,105.442458333333,-11.3066666666667,11,Canis Major,Sharpless,293,,
Sh 2-294,109.142041666667,-9.43933333333333,7,Monoceros,Sharpless,294,,3
Sh 2-295,105.65825,-11.4564166666667,8,Canis Major,Sharpless,295,,
RCW 4,111.013208333333,-8.69761111111111,60,Monoceros,RCW,,,4
Sh 2-296,106.435375,-11.21075,200,Canis Major,Sharpless,296,2,1
LBN 1036,108.957833333333,-10.7358055555556,56.22,Monoceros,LBN,,,
GMN 39,108.485666666667,-11.239,512.28,Canis Major,GMN,,,
Sh 2-297,106.366458333333,-12.3221666666667,12.96,Canis Major,Sharpless,297,3,1a
Sh 2-298,109.639166666667,-13.2208333333333,22,Canis Major,Sharpless,298,4,5
GMN 40,109.312333333333,-16.3257222222222,56.22,Canis Major,GMN,,,
Sh 2-299,112.670541666667,-15.2945833333333,1,Puppis,Sharpless,299,,
Sh 2-300,112.767541666667,-15.4029166666667,3,Puppis,Sharpless,300,,
Sh 2-301,107.462666666667,-18.4589722222222,27.12,Canis Major,Sharpless,301,5,6
Sh 2-302,112.9135,-16.9681388888889,21,Puppis,Sharpless,302,6,7
Sh 2-303,103.50325,-21.8854444444444,123.4,Canis Major,Sharpless,303,,
Sh 2-305,112.535791666667,-18.5794444444444,4,Puppis,Sharpless,305,,8
Sh 2-304,100.867041666667,-24.1180277777778,200,Canis Major,Sharpless,304,,9
Sh 2-306,112.646208333333,-19.1036111111111,30,Puppis,Sharpless,306,,10
Sh 2-307,113.875208333333,-18.7471388888889,6,Puppis,Sharpless,307,7,12
Sh 2-308,103.549125,-23.9341111111111,35,Canis Major,Sharpless,308,,11
Sh 2-309,113.024208333333,-19.4210555555556,12,Puppis,Sharpless,309,,13
RCW 14,109.723041666667,-21.9460833333333,27.22,Canis Major,RCW,,,14
Sh 2-310,108.274,-24.5673055555556,480,Canis Major,Sharpless,310,8,15
Sh 2-311,118.145625,-26.449,45,Puppis,Sharpless,311,9,16
RCW 17,116.964875,-27.4195833333333,2,Puppis,RCW,,,17
GMN 41,110.932666666667,-30.5514166666667,539.14,Canis Major,GMN,,,
RCW 18,119.831875,-33.8671666666667,1,Puppis,RCW,,,18
Sh 2-312,134.795833333333,-25.6831388888889,720,Pyxis,Sharpless,312,,
Gum 10,124.050875,-35.5746388888889,25,Puppis,Gum,,10,19
Gum 11,125.197625,-36.2171944444444,2,Puppis,Gum,,11,20
GMN 42,103.108,-45.4281666666667,1083.78,Puppis,GMN,,,
RCW 21,127.743041666667,-38.3783055555556,1,Vela,RCW,,,21
RCW 22,138.962375,-31.4366111111111,45,Pyxis,RCW,,,22
Gum 12a,119.57525,-43.2713611111111,1200,Puppis,Gum,,12a,
RCW 23,129.249458333333,-38.6231111111111,2,Vela,RCW,,,23
RCW 24,126.474166666667,-40.4396388888889,3,Puppis,RCW,,,24
RCW 25,129.691791666667,-39.2406388888889,2,Vela,RCW,,,25
RCW 26,131.707791666667,-38.6479722222222,3,Vela,RCW,,,26
Gum 13,125.460083333333,-42.6025555555556,9.5,Puppis,Gum,,13,29
RCW 28,125.353583333333,-42.7318333333333,2,Puppis,RCW,,,28
Gum 14,129.705541666667,-40.3689444444444,105.44,Vela,Gum,,14,27
RCW 30,125.7665,-42.64325,2,Puppis,RCW,,,30
Gum nebula,127.663333333333,-41.7473055555556,2332.1,Vela,Gum,,,
RCW 31,126.044333333333,-43.1099166666667,3,Puppis,RCW,,,31
GMN 43,90.586125,-53.2120555555556,36.24,Pictor,GMN,,,
Gum 15,131.240583333333,-41.2829166666667,28.18,Vela,Gum,,15,32
Gum 16,128.106416666667,-44.0903611111111,240,Vela,Gum,,16,
LBN 1089,148.901458333333,-28.8076666666667,165.54,Antlia,LBN,,,
Gum 17,132.836666666667,-42.1751111111111,100,Vela,Gum,,17,33
Gum 19,134.106333333333,-43.1010555555556,3,Vela,Gum,,19,34
Gum 18,132.861666666667,-43.9530833333333,40,Vela,Gum,,18,35
GMN 44,149.473791666667,-31.1093888888889,468.7,Antlia,GMN,,,
Gum 20,134.856166666667,-43.7413055555556,12.12,Vela,Gum,,20,36
LBN 1090,149.094916666667,-33.0925555555556,165.54,Antlia,LBN,,,
RCW 37,135.051833333333,-45.9518611111111,13,Vela,RCW,,,37
Gum 21,133.569291666667,-47.5471111111111,50,Vela,Gum,,21,
RCW 38c,134.925,-47.3279444444445,9,Vela,RCW,,,38c
Gum 22,134.762791666667,-47.4729166666667,4,Vela,Gum,,22,38a
Gum 23,134.970041666667,-47.4366944444444,26.16,Vela,Gum,,23,38
RCW 38b,134.848833333333,-47.55825,3,Vela,RCW,,,38b
RCW 38d,135.030083333333,-47.5312777777778,12,Vela,RCW,,,38d
Gum 12b,147.290416666667,-38.4658055555556,420,Antlia,Gum,,12b,
GMN 45,109.173541666667,-57.85825,620.74,Carina,GMN,,,
Gum 24,135.917708333333,-48.3903333333333,12.1,Vela,Gum,,24,39
Gum 25,135.578166666667,-48.6810277777778,14.88,Vela,Gum,,25,40
RCW 41,139.181833333333,-47.9932222222222,8,Vela,RCW,,,41
Gum 26,141.106166666667,-51.9833888888889,15.92,Vela,Gum,,26,42
GMN 46,127.553791666667,-59.4216111111111,16.08,Carina,GMN,,,
Gum 27,141.691375,-56.1346388888889,2,Vela,Gum,,27,43
RCW 44,142.826416666667,-56.2944444444444,2,Vela,RCW,,,44
GMN 47,143.425291666667,-57.0443888888889,16.08,Vela,GMN,,,
RCW 45,152.958708333333,-56.3701944444444,16,Vela,RCW,,,45
RCW 46,151.857041666667,-57.3925,15,Carina,RCW,,,46
RCW 47,151.329916666667,-58.7068888888889,25,Carina,RCW,,,47
GMN 48,165.860041666667,-44.36075,735.94,Vela,GMN,,,
Gum 28,154.191708333333,-57.9072777777778,22.7,Carina,Gum,,28,48
RCW 50,156.77025,-57.1549444444444,12,Carina,RCW,,,50
Gum 29,156.159916666667,-57.7258611111111,36.5,Carina,Gum,,29,49
Gum 30,158.498291666667,-58.1303333333333,47.82,Carina,Gum,,30,51
GMN 49,138.653583333333,-69.7879166666667,65.82,Carina,GMN,,,
Gum 31,159.430875,-58.6530555555556,20,Carina,Gum,,31,
Gum 32,161.562416666667,-58.6434166666667,7,Carina,Gum,,32,52
Gum 33,160.963791666667,-59.8581944444444,180,Carina,Gum,,33,53
Gum 34a,164.521125,-59.7019722222222,15,Carina,Gum,,34a,
RCW 54b,165.56575,-59.52325,81.44,Carina,RCW,,,54b
RCW 54,165.132583333333,-60.2373611111111,170.44,Carina,RCW,,,54
Gum 34b,165.8565,-59.4359166666667,59.04,Carina,Gum,,34b,
Gum 35,164.605875,-61.2522222222222,10,Carina,Gum,,35,54a
RCW 55,164.153416666667,-63.02125,17.12,Carina,RCW,,,55
Gum 36,168.0085,-58.7935833333333,10,Carina,Gum,,36,54d
Gum 37,167.489583333333,-60.1091666666667,20,Carina,Gum,,37,54c
RCW 56,166.493041666667,-62.5238055555556,2,Carina,RCW,,,56
Gum 38a,168.013666666667,-61.2102777777778,20,Carina,Gum,,38a,
Gum 38b,168.776583333333,-61.2118333333333,12,Carina,Gum,,38b,
RCW 57,168.762541666667,-61.233,170,Carina,RCW,,,57
RCW 58,166.531416666667,-65.4861388888889,13.94,Carina,RCW,,,58
RCW 59,174.482833333333,-56.9475555555556,180,Centaurus,RCW,,,59
Gum 39,172.226458333333,-62.6676388888889,20,Centaurus,Gum,,39,60a
RCW 60,172.325875,-62.79025,50,Centaurus,RCW,,,60
Gum 40,172.250166666667,-62.9343333333333,12,Centaurus,Gum,,40,60b
Gum 41,172.600875,-63.8181666666667,15,Centaurus,Gum,,41,61
Gum 42,174.591375,-63.3538055555556,75,Centaurus,Gum,,42,62
GMN 50,182.95575,-50.7411944444444,15.5,Centaurus,GMN,,,
RCW 63,184.2775,-52.216,250,Centaurus,RCW,,,63
GMN 51,183.783375,-60.3466111111111,44.48,Crux,GMN,,,
GMN 52,184.758708333333,-57.2218888888889,38.92,Crux,GMN,,,
GMN 53,186.307916666667,-57.1584166666667,20.02,Crux,GMN,,,
RCW 64,185.072,-62.9579444444445,3,Crux,RCW,,,64
Ge 300.0+0.4,186.360833333333,-62.2419722222222,25.84,Crux,Ge,,,
Ge 300.8,187.599375,-62.7867777777778,59.68,Crux,Ge,,,
Gum 43,188.748291666667,-61.6180555555556,1,Crux,Gum,,43,65
Gum 44,188.927833333333,-61.8511388888889,1,Crux,Gum,,44,66
RCW 67,189.166083333333,-62.0220555555556,4,Crux,RCW,,,67
RCW 68,190.4835,-61.8118888888889,15,Crux,RCW,,,68
Gum 45,191.0195,-62.48125,4,Crux,Gum,,45,69
GMN 54,191.637625,-56.9350277777778,72.98,Crux,GMN,,,
RCW 70,192.332958333333,-63.8708055555556,1,Crux,RCW,,,70
Gum 46,192.615125,-61.5782777777778,3,Crux,Gum,,46,71
RCW 72,193.417,-61.2705833333333,2,Crux,RCW,,,72
RCW 73,193.839208333333,-61.4681944444445,2,Crux,RCW,,,73
Sh 2-313,193.414916666667,-22.8688611111111,12,Hydra,Sharpless,313,,
GMN 55,194.867416666667,-62.142,548.92,Centaurus,GMN,,,
RCW 74,197.581541666667,-62.6422222222222,15,Centaurus,RCW,,,74
GMN 56,198.495333333333,-60.9331388888889,75.62,Centaurus,GMN,,,
GMN 57,199.515708333333,-62.6410555555556,99.94,Centaurus,GMN,,,
Gum 48a,199.940583333333,-62.4713888888889,21.58,Centaurus,Gum,,48a,75
GMN 58,202.167208333333,-63.5515277777778,53.6,Centaurus,GMN,,,
Gum 47,203.3525,-65.9645555555556,3,Musca,Gum,,47,76
RCW 77,205.053375,-67.4286111111111,1,Musca,RCW,,,77
Gum 48b,203.396125,-62.3661944444444,31.74,Centaurus,Gum,,48b,78
Gum 48c,205.019916666667,-61.7284444444445,16.9,Centaurus,Gum,,48c,79
Gum 48d,206.831291666667,-62.618,12.38,Centaurus,Gum,,48d,80
RCW 81,208.994791666667,-61.3071666666667,1,Centaurus,RCW,,,81
RCW 82,209.90775,-61.3989444444444,5,Centaurus,RCW,,,82
RCW 83,212.420541666667,-61.8694166666667,60,Centaurus,RCW,,,83
RCW 84,215.255375,-63.8773333333333,1,Centaurus,RCW,,,84
RCW 85,214.88975,-61.4541944444445,25,Centaurus,RCW,,,85
RCW 86,219.869041666667,-62.6127222222222,3,Centaurus,RCW,,,86
GMN 59,202.617541666667,-11.8790833333333,947.36,Virgo,GMN,,,
GMN 60,222.42975,-56.4214166666667,94.84,Circinus,GMN,,,
GMN 61,224.88275,-58.0775833333333,74.46,Circinus,GMN,,,
RCW 87,226.312375,-57.5263888888889,4,Circinus,RCW,,,87
GMN 62,230.33475,-60.7488611111111,347.7,Circinus,GMN,,,
RCW 88,226.829666666667,-57.7964166666667,3,Circinus,RCW,,,88
RCW 89,228.407125,-59.0001111111111,8.96,Circinus,RCW,,,89
RCW 90,226.40975,-55.8911388888889,1,Circinus,RCW,,,90
RCW 91,229.168625,-58.1534444444444,11,Circinus,RCW,,,91
RCW 92,229.748333333333,-56.6903611111111,13.96,Circinus,RCW,,,92
RCW 93,233.61575,-58.9988055555556,2,Norma,RCW,,,93
RCW 94,235.397083333333,-54.1868611111111,31.44,Norma,RCW,,,94
GMN 63,236.198541666667,-54.1416666666667,24.1,Norma,GMN,,,
RCW 95,236.097708333333,-53.93625,6.02,Norma,RCW,,,95
RCW 96,238.221208333333,-55.1930833333333,2,Norma,RCW,,,96
GMN 64,236.895125,-53.9738055555556,24.4,Norma,GMN,,,
RCW 97,238.062916666667,-54.6916388888889,10.34,Norma,RCW,,,97
Gum 49,238.912791666667,-54.6423611111111,14.58,Norma,Gum,,49,98
GMN 65,240.481708333333,-54.3689166666667,205.96,Norma,GMN,,,
Gum 50,239.903125,-53.7539722222222,2,Norma,Gum,,50,99
RCW 100,237.903666666667,-51.4778888888889,1,Norma,RCW,,,100
GMN 66,251.470958333333,-58.1996666666667,99.62,Ara,GMN,,,
RCW 101,244.260916666667,-51.9971666666667,2,Norma,RCW,,,101
RCW 102,244.661625,-51.9407222222222,18.54,Norma,RCW,,,102
GMN 67,242.937625,-50.4236944444444,72.26,Norma,GMN,,,
RCW 103,244.397,-51.0791666666667,5,Norma,RCW,,,103
RCW 106a,245.029541666667,-50.9176944444444,20,Norma,RCW,,,106a
RCW 104,246.058166666667,-51.55325,20,Norma,RCW,,,104
RCW 106,245.196166666667,-50.8568888888889,44.08,Norma,RCW,,,106
Gum 51,242.613833333333,-48.9895833333333,37.02,Norma,Gum,,51,105
RCW 106b,245.429625,-50.7762777777778,12,Norma,RCW,,,106b
GMN 68,238.35475,-44.3214166666667,219.86,Norma,GMN,,,
GMN 69,247.375541666667,-48.5567222222222,54.2,Norma,GMN,,,
Gum 52,248.452458333333,-48.1128611111111,7,Norma,Gum,,52,107
Gum 53,250.123,-48.7811944444444,210,Ara,Gum,,53,108
RCW 108a,249.938083333333,-48.6000555555556,60,Ara,RCW,,,108a
[KC97c] G339.1-00.4,251.331875,-46.1941111111111,18.26,Ara,[KC97c],,,
RCW 109,251.792625,-45.6691111111111,2,Scorpius,RCW,,,109
GMN 70,244.372666666667,-39.4366666666667,92.08,Scorpius,GMN,,,
RCW 110,253.669833333333,-45.1314722222222,18.14,Scorpius,RCW,,,110
Gum 54,253.859083333333,-45.0651666666667,52.64,Scorpius,Gum,,54,
RCW 111,254.228291666667,-44.9721111111111,13.58,Scorpius,RCW,,,111
RCW 112,247.593875,-40.2485,2,Scorpius,RCW,,,112
Gum 55,253.0095,-42.1708888888889,240,Scorpius,Gum,,55,113
GMN 71,243.004583333333,-34.1521388888889,92.08,Scorpius,GMN,,,
RCW 114,260.3925,-45.0003055555556,330,Scorpius,RCW,,,114
RCW 115,248.325958333333,-37.1242222222222,4,Scorpius,RCW,,,115
Gum 56,254.2325,-40.3260833333333,90,Scorpius,Gum,,56,116
RCW 117,257.523375,-41.5529166666667,2,Scorpius,RCW,,,117
GMN 72,247.892166666667,-34.0755555555556,352.64,Scorpius,GMN,,,
Gum 57a,255.265833333333,-38.2903055555556,25,Scorpius,Gum,,57a,119a
Sh 2-1,239.709583333333,-26.1038333333333,150,Scorpius,Sharpless,1,,
RCW 118,258.391708333333,-39.8047777777778,2,Scorpius,RCW,,,118
Sh 2-2,256.620791666667,-37.8582777777778,106.02,Scorpius,Sharpless,2,57b,119
Sh 2-4,259.618875,-39.3399166666667,7.88,Scorpius,Sharpless,4,,121
Sh 2-3,258.100375,-38.4596944444444,22.34,Scorpius,Sharpless,3,58,120
BFS 65,260.069291666667,-38.9486388888889,6,Scorpius,BFS,,,
RCW 122,260.220375,-38.8463333333333,2,Scorpius,RCW,,,122
GMN 73,262.020541666667,-39.408,27.02,Scorpius,GMN,,,
Gum 59,260.018708333333,-38.3440833333333,103.94,Scorpius,Gum,,59,123
Sh 2-6,258.835416666667,-37.0975833333333,4,Scorpius,Sharpless,6,60,124
Sh 2-7,240.09175,-22.9395555555556,240,Scorpius,Sharpless,7,,
RCW 125,259.600458333333,-37.2173888888889,18.18,Scorpius,RCW,,,125
Siv 10,239.064625,-21.13775,783.58,Scorpius,Siv,,,
RCW 126,259.299875,-36.3264444444445,13.02,Scorpius,RCW,,,126
Gum 61,259.953916666667,-36.1051666666667,7,Scorpius,Gum,,61,
Gum 63,259.521166666667,-35.7358333333333,28.42,Scorpius,Gum,,63,
Gum 62,260.229041666667,-36.0858611111111,8,Scorpius,Gum,,62,
Gum 64a,260.027083333333,-35.9711111111111,2,Scorpius,Gum,,64a,
Sh 2-8,259.969541666667,-35.8890833333333,123.96,Scorpius,Sharpless,8,,127
Sh 2-9,245.285958333333,-25.5874444444444,80,Scorpius,Sharpless,9,65,
RCW 128,260.917333333333,-36.2963611111111,13.08,Scorpius,RCW,,,128
Gum 64b,260.226125,-35.8858888888889,6,Scorpius,Gum,,64b,
Gum 64c,260.048958333333,-35.7542222222222,12,Scorpius,Gum,,64c,
RCW 129,248.714291666667,-27.8987222222222,280.54,Scorpius,RCW,,,129
Sh 2-10,259.451208333333,-33.9975277777778,60,Scorpius,Sharpless,10,,130
RCW 131c,261.513166666667,-34.4560277777778,9.02,Scorpius,RCW,,,131c
Sh 2-11,261.251,-34.2115833333333,90,Scorpius,Sharpless,11,66,131
RCW 131b,261.277833333333,-34.2145277777778,9,Scorpius,RCW,,,131b
RCW 131a,261.086958333333,-33.9179166666667,37.84,Scorpius,RCW,,,131a
RCW 131d,261.800375,-34.2473055555556,9.54,Scorpius,RCW,,,131d
