id,alpha,delta,diameter,axisRatio,posAngle,MinAx,Type,B-Mag,V-Mag,J-Mag,H-Mag,K-Mag,SurfBr,Hubble,NGC,IC,Common name,NED notes,OpenNGC notes
NGC5279,205.43229,55.67381,0.61,1.7,24,0.35,G,13.6,,12.35,11.7,11.41,21.98,SBa,,,MCG +09-22-102,PGC 048482,UGC 08678
NGC5280,205.73142,29.86861,0.84,1,100,0.81,G,14.68,13.63,11.68,10.77,10.58,23.17,E,,,MCG +05-32-072,PGC 048580,SDSS J134255.53+295206.9
NGC5281,206.64646,-62.91653,6.9,,,,OCl,6.15,5.9,,,,,,,,,,
NGC5282,205.85367,30.06953,0.66,1.1,80,0.62,G,14.95,,11.71,10.99,10.69,22.93,E,,,MCG +05-32-075,PGC 048614,SDSS J134324.87+300410.2
NGC5283,205.274,67.67231,1.19,1.2,132,1.03,G,14.25,14.05,10.97,10.29,9.97,23.41,S0,,,MCG +11-17-007,PGC 048425,UGC 08672
NGC5284,206.84708,-59.14939,8.4,,,,*Ass,,,,,,,,,,,The ESO number applies to the nominal position.,
NGC5285,206.10746,2.10992,0.77,1.2,61,0.64,G,15.47,,11.76,10.99,10.81,23.75,E,,,PGC 048688,SDSS J134425.79+020635.6,SDSS J134425.79+020635.7
NGC5286,206.61075,-51.37347,6.6,,,,GCl,9.18,8.31,,,,,,,,MWSC 2160,,
NGC5287,206.21892,29.77092,0.68,1.5,116,0.45,G,15.42,,12.45,11.75,11.51,23.56,E,,,PGC 048741,SDSS J134452.54+294615.2,SDSS J134452.54+294615.3
NGC5288,207.18725,-64.68539,3.6,,,,OCl,,11.8,,,,,,,,,,
NGC5289,206.28629,41.50339,2.33,3.3,100,0.7,G,13.94,12.97,10.76,9.93,9.74,23.83,SABa,,,MCG +07-28-058,PGC 048749,SDSS J134508.71+413012.2
NGC5290,206.32992,41.71258,3.24,3.6,95,0.9,G,13.28,16.5,9.51,8.76,8.44,23.63,Sbc,,,IRAS 13432+4157,MCG +07-28-061,PGC 048767
NGC5291,206.852,-30.407,1.77,1.4,173,1.24,G,13.86,14,10.26,9.58,9.38,23.83,E-S0,,,ESO 445-030,ESO-LV 445-0300,MCG -05-33-006
NGC5292,206.91696,-30.93953,2.29,1.7,51,1.33,G,12.79,11.92,9.62,8.98,8.69,22.98,Sab,,,ESO 445-031,ESO-LV 445-0310,MCG -05-33-008
NGC5293,206.7195,16.27286,1.58,1.5,122,1.07,G,13.73,13.1,11.43,10.92,10.66,23.16,Sc,,,MCG +03-35-024,PGC 048854,SDSS J134652.67+161622.2
NGC5294,206.32554,55.29083,1.26,1.9,125,0.65,G,15.12,,13.41,12.7,12.74,23.81,I,,,PGC 048761,SDSS J134518.13+551726.9,SDSS J134518.13+551727.0
NGC5295,204.66413,79.45889,0.63,1,70,0.62,G,14.59,,11.67,10.98,10.67,22.54,E-S0,,,MCG +13-10-009,PGC 048215,
NGC5296,206.57775,43.85136,0.95,1.7,11,0.55,G,14.48,13.81,12.62,12.01,11.9,23.06,S0-a,,,MCG +07-28-062,PGC 048811,SDSS J134618.66+435104.8
NGC5297,206.59863,43.87233,3.72,4.1,147,0.91,G,12.4,11.76,9.84,9.18,8.89,22.87,Sc,,,IRAS 13442+4407,MCG +07-28-063,PGC 048815
NGC5298,207.15204,-30.42853,1.86,2.1,69,0.87,G,13.96,13.09,10.43,9.73,9.45,23.54,SBb,,,ESO 445-039,ESO-LV 445-0390,MCG -05-33-015
NGC5299,207.60942,-59.94772,4.2,,,,OCl,,,,,,,,,,,,
NGC5300,207.06683,3.95086,2.83,1.5,147,1.84,G,13.17,,10.4,9.71,9.5,23.77,SABc,,,IRAS 13457+0411,MCG +01-35-038,PGC 048959
NGC5301,206.60279,46.10706,3.96,4.7,150,0.84,G,13.33,12.63,10.08,9.34,9.11,23.85,SBc,,,IRAS 13443+4621,MCG +08-25-041,PGC 048816
NGC5302,207.207,-30.51111,1.05,1.8,162,0.59,G,13.43,12.43,9.8,9.11,8.85,22.21,S0-a,,,ESO 445-043,ESO-LV 445-0430,MCG -05-33-018
NGC5303,206.93746,38.30464,0.86,2,90,0.44,G,12.86,,11.1,10.53,10.23,20.77,Sb,,,IRAS 13455+3833,MCG +07-28-067,PGC 048917
NGC5304,207.50617,-30.57847,1.91,1.4,140,1.39,G,13.63,13.56,10.44,9.74,9.51,23.75,E-S0,,,ESO 445-052,ESO-LV 445-0520,MCG -05-33-022
NGC5305,206.98225,37.82633,1.46,1.4,26,1.02,G,14.45,,11.48,10.8,10.5,23.69,Sb,,,MCG +06-30-087,PGC 048930,SDSS J134755.74+374934.7
NGC5306,207.2975,-7.22439,1.94,1.6,33,1.24,G,13.1,,9.91,9.26,8.96,23.25,S0,,,MCG -01-35-014,PGC 049039,
NGC5307,207.76375,-51.20578,0.21,,,,PN,12.1,11.2,12.03,11.99,11.28,,,,,ESO 221-011,IRAS 13478-5057,PN G312.3+10.5
NGC5308,206.75179,60.97317,4.33,7.6,60,0.57,G,12.24,11.32,9.28,8.59,8.36,24,S0,,,MCG +10-20-029,PGC 048860,SDSS J134700.42+605823.4
NGC5309,207.54483,-15.61842,0.63,1.1,125,0.56,G,15.71,,13.24,12.69,12.32,23.34,,,,PGC 908764,,Identification as NGC 5309 is very uncertain.
NGC5311,207.23367,39.98511,2.01,1.2,102,1.66,G,13.46,13.3,10.17,9.47,9.25,23.6,S0-a,,,IRAS 13467+4014,MCG +07-28-072,PGC 049011
NGC5312,207.46071,33.62175,1.09,1.9,39,0.57,G,14.62,,11.54,10.86,10.58,23.52,S0-a,,,MCG +06-30-092,PGC 049075,SDSS J134950.57+333718.3
NGC5313,207.43475,39.98478,1.81,1.7,42,1.05,G,12.65,12.09,9.8,9.12,8.82,22.38,SABb,,,IRAS 13475+4013,MCG +07-28-074,PGC 049069
NGC5314,206.5475,70.33956,0.95,1.9,86,0.49,G,14.52,,11.36,10.65,10.36,23.01,Sa,,,IRAS 13450+7035,MCG +12-13-009,PGC 048810
NGC5315,208.48704,-66.51417,0.1,,,,PN,13,9.8,10.23,10.06,9.11,,,,,PN G309.1-04.3,,Incorrectly identified as IC 5315 in PKSCAT90 (version 1.01).
NGC5316,208.48842,-61.86911,9.9,,,,OCl,6.08,6,,,,,,,,,,
NGC5318,207.65004,33.70489,1.51,1.3,165,1.12,G,13.52,13.5,10.46,9.78,9.49,23.21,S0,,,,,
NGC5319,207.66942,33.76156,0.65,2.4,68,0.27,G,16.64,,14.16,13.7,12.99,23.7,Sbc,,,PGC 084061,SDSS J135040.65+334541.5,SDSS J135040.66+334541.6
NGC5320,207.58492,41.36622,1.82,2,17,0.92,G,13.14,12.4,10.63,9.99,9.73,22.83,SABc,,,IRAS 13482+4136,MCG +07-28-076,PGC 049112
NGC5321,207.68204,33.63261,0.89,1.4,49,0.63,G,15.02,,11.75,11.13,10.84,23.32,S0-a,,,MCG +06-30-101,PGC 049148,SDSS J135043.69+333757.3
NGC5322,207.31363,60.19053,5.62,1.6,95,3.49,G,11.05,10.14,11.08,10.41,9.92,23.64,E,,,MCG +10-20-035,PGC 049044,UGC 08745
NGC5323,206.40217,76.82833,1.05,2.4,164,0.44,G,14.24,,11.96,11.39,11.11,22.78,Sab,,,IRAS 13451+7704,MCG +13-10-012,PGC 048785
NGC5324,208.02454,-6.05831,2.22,2,15,1.09,G,12.59,12.18,10.33,9.75,9.38,22.51,Sc,,,IRAS 13494-0548,MCG -01-35-016,PGC 049236
NGC5325,207.72588,38.27478,0.86,1.4,108,0.62,G,14.92,,13.03,12.24,12.31,23.29,Sc,,,MCG +07-28-080,PGC 049163,SDSS J135054.21+381629.2
NGC5326,207.71125,39.57486,2.18,2.1,136,1.03,G,12.88,11.87,9.8,9.12,8.88,23,Sa,,,MCG +07-28-082,PGC 049157,SDSS J135050.70+393429.4
NGC5327,208.01738,-2.20661,1.61,1.7,93,0.95,G,13.82,,11,10.29,9.9,23.17,Sb,,,IRAS 13494-0157,MCG +00-35-021,PGC 049234
NGC5328,208.22213,-28.48939,3.07,1.8,78,1.71,G,12.71,11.71,9.48,8.76,8.49,23.98,E,,,ESO 445-067,ESO-LV 445-0670,MCG -05-33-028
NGC5329,208.04204,2.32511,1.48,2.1,170,0.71,G,13.4,12.46,10.57,9.91,9.68,23.09,E,,,MCG +01-35-044,PGC 049248,SDSS J135210.09+021930.4
NGC5330,208.24663,-28.47067,1.14,1.2,165,0.93,G,14.51,13.57,11.42,10.76,10.5,23.66,E,,,ESO 445-068,ESO-LV 445-0680,MCG -05-33-028a
NGC5331,208.06792,2.10303,1.1,,,,GPair,,,,,,,,,,UGC 08774,,
NGC5331 NED01,208.06729,2.10092,1.07,1.8,132,0.58,G,16.59,,,,,25.02,SABb,5331S,,MCG +00-35-022 NED01,PGC049264,SDSSJ135215.66+020608.9
NGC5331 NED02,208.06842,2.10864,0.56,1.9,50,0.29,G,14.93,,12.07,11.38,10.96,22.59,Sb,5331N,,MCG +00-35-022 NED02,PGC 049266,UGC 08774 NED02
NGC5332,208.033,16.96975,1.06,1.4,55,0.77,G,13.95,12.95,10.77,10.07,9.84,22.81,E-S0,,,MCG +03-35-030,PGC 049243,SDSS J135207.92+165811.0
NGC5333,208.60092,-48.51253,2.18,2,51,1.09,G,12.81,11.89,9.34,8.62,8.37,23.21,S0,,,ESO 221-017,ESO-LV 221-0170,PGC 049424
NGC5334,208.22692,-1.11464,3.38,1.4,17,2.44,G,13.02,11.73,10.82,10.16,9.94,24.15,Sc,,4338,IRAS 13502-0051,MCG +00-35-024,PGC 049308
NGC5335,208.23567,2.81428,1.45,1.1,155,1.32,G,14.24,,10.96,10.26,10.09,23.82,Sb,,,MCG +01-35-046,PGC 049310,SDSS J135256.54+024902.3
NGC5336,208.04083,43.24292,1.22,1.3,101,0.92,G,13.64,,11.67,11.07,10.81,22.76,SABc,,,IRAS 13500+4329,MCG +07-29-003,PGC 049250
NGC5337,208.09596,39.68725,1.66,2.1,22,0.8,G,13.37,,10.82,10.15,9.97,22.88,SBab,,,MCG +07-29-004,PGC 049275,UGC 08789
NGC5338,208.36063,5.20778,1.94,2.3,98,0.85,G,14.11,,11.22,10.58,10.38,24.16,S0,,,MCG +01-35-048,PGC 049353,SDSS J135326.54+051227.9
NGC5339,208.50113,-7.93067,1.82,1.2,85,1.5,G,12.82,12.24,10.57,9.95,9.7,22.77,Sa,,,MCG -01-35-018,PGC 049388,
NGC5340,207.24963,72.65383,0.84,1.3,85,0.64,G,15,,11.44,10.72,10.38,,E,,,MCG +12-13-014,PGC 049021,
NGC5341,208.13317,37.81742,1.07,1.8,159,0.58,G,14.11,,11.89,11.42,11.23,22.63,SBm,,,IRAS 13503+3803,MCG +06-31-002,PGC 049285
NGC5342,207.85771,59.86394,0.92,3.1,154,0.3,G,14.28,,11.08,10.41,10.15,22.75,S0,,,MCG +10-20-041,PGC 049192,SDSS J135125.84+595150.2
NGC5343,208.54879,-7.58814,1.23,1.3,78,0.93,G,14.22,,10.2,9.51,9.27,23.44,E-S0,,,MCG -01-35-019,PGC 049412,
NGC5344,207.49179,73.95289,0.54,1.1,100,0.47,GPair,15.4,,11.95,11.21,11.12,,E,,,PGC 049085,,
NGC5345,208.55938,-1.43647,1.5,1.6,157,0.91,G,13.79,,10.53,9.72,9.52,23.15,Sa,,,IRAS 13516-0111,MCG +00-35-026,PGC 049415
NGC5346,208.25788,39.58078,1.56,2.4,160,0.64,G,14.71,,12.39,11.54,11.18,23.71,SABc,,,MCG +07-29-007,PGC 049322,SDSS J135301.88+393450.8
NGC5347,208.32429,33.49083,1.62,1.4,122,1.19,G,13.44,12.68,10.62,9.98,9.65,23.03,Sab,,,IRAS 13510+3344,MCG +06-31-007,PGC 049342
NGC5348,208.54696,5.22744,3.88,5.3,175,0.73,G,14.34,,11.5,10.77,10.87,24.75,SBbc,,,MCG +01-35-051,PGC 049411,SDSS J135411.26+051338.7
NGC5349,208.30471,37.88314,1.6,3.3,81,0.48,G,14.96,,11.71,10.98,10.63,23.88,SBb,,,IRAS 13510+3807,MCG +06-31-005,PGC 049336
NGC5350,208.34013,40.36394,2.69,1.6,35,1.66,G,12.28,11.47,9.24,8.87,8.62,22.8,Sbc,,,IRAS 13512+4036,MCG +07-29-009,PGC 049347
NGC5351,208.36546,37.91497,2.43,1.9,101,1.31,G,13.08,12.15,10.4,9.71,9.45,23.3,SBb,,,IRAS 13513+3809,MCG +06-31-008,PGC 049359
NGC5352,208.41013,36.13406,1.42,1.1,92,1.24,G,14.08,,10.83,10.07,9.8,23.57,E-S0,,,MCG +06-31-011,PGC 049370,SDSS J135338.42+360802.5
NGC5353,208.36121,40.28303,2.37,2,152,1.18,G,11.99,11.02,8.52,7.73,7.63,22.57,S0,,,MCG +07-29-010,PGC 049356,SDSS J135326.72+401659.4
NGC5354,208.36125,40.30275,3.03,2.6,174,1.15,G,12.34,11.38,,,,23.42,S0,,,PGC 049354,UGC 08814,
NGC5355,208.43983,40.33867,1.15,1.6,30,0.72,G,14.03,13.18,11.38,10.7,10.45,23.06,S0,,,MCG +07-29-012,PGC 049380,SDSS J135345.56+402019.2
NGC5356,208.74358,5.33372,2.83,4.2,16,0.67,G,13.79,,10.66,9.97,9.64,23.6,Sbc,,,IRAS 13524+0534,MCG +01-35-052,PGC 049468
NGC5357,208.99813,-30.34144,2.18,1.2,24,1.87,G,12.98,12.01,9.94,9.21,8.93,23.54,E,,,ESO 445-078,ESO-LV 445-0780,MCG -05-33-032
NGC5358,208.50171,40.27731,1.12,2.9,138,0.38,G,14.58,,11.66,10.96,10.9,23.4,S0-a,,,MCG +07-29-013,PGC 049389,SDSS J135400.41+401638.3
NGC5359,210.03988,-70.39231,5.4,,,,OCl,,,,,,,,,,,,
NGC5360,208.91146,4.98506,1.1,1.8,63,0.62,G,14.93,,11.78,11.06,11.15,23.76,S0-a,,958,MCG +01-36-001,PGC 049513,SDSS J135538.75+045906.2
NGC5361,208.64679,38.44942,0.76,1.8,64,0.42,G,14.77,,12.26,11.55,11.24,23,S0-a,,,IRAS 13524+3841,MCG +07-29-015,PGC 049441
NGC5362,208.72208,41.31353,1.89,2.4,87,0.78,G,13.24,12.76,10.88,10.24,9.98,22.85,Sb,,,IRAS 13527+4133,MCG +07-29-016,PGC 049464
NGC5363,209.03004,5.25478,4.17,1.5,133,2.75,G,11.1,10.21,7.83,7.16,6.93,22.82,S0-a,,,IRAS 13536+0529,MCG +01-36-002,PGC 049547
NGC5364,209.05,5.01447,3.8,2.3,45,1.66,G,11.19,10.52,8.67,8.08,7.8,22.19,Sbc,5317,,IRAS 13536+0515,MCG +01-36-003,PGC 049555
NGC5365,209.461,-43.93131,3.88,1.8,174,2.14,G,12.38,11.32,8.83,8.18,7.92,24.03,S0,,,ESO 271-008,ESO-LV 271-0080,MCG -07-29-002
NGC5365A,209.16471,-44.00925,2.84,4.2,94,0.68,G,13.54,13.52,9.89,9.12,8.84,23.61,SBb,,,ESO 271-006,ESO-LV 271-0060,IRAS 13535-4345
NGC5365B,209.66488,-43.96372,1.79,4.3,51,0.42,G,14.15,,10.9,10.16,9.88,23.37,Sab,,,ESO 271-009,ESO-LV 271-0090,IRAS 13555-4343
NGC5366,209.10358,-0.24756,0.8,1.4,43,0.57,G,14.46,,12.18,11.39,10.73,22.78,S0-a,,,IRAS 13538-0000,MCG +00-36-002,PGC 049569
NGC5367,209.43279,-39.97842,2,1,,2,RfN,,,,,,,,,4347,,Includes at least two Galactic stars.,
NGC5368,208.6215,54.33067,0.99,1.3,19,0.75,G,13.86,,11.14,10.46,10.2,22.6,Sab,,,IRAS 13526+5434,MCG +09-23-014,PGC 049431
NGC5369,209.15675,-5.46989,1.08,1.2,110,0.87,G,14.38,,11.03,10.33,10.12,23.48,E,,,PGC 049583,,
NGC5370,208.53904,60.67806,1.37,1.1,65,1.29,G,14.11,,11.03,10.39,10.03,23.49,S0,,,MCG +10-20-044,PGC 049408,SDSS J135409.36+604040.9
NGC5371,208.91642,40.46175,3.98,1.6,7,2.45,G,11.28,11.69,8.56,7.89,7.61,22.64,Sbc,5390,,IRAS 13535+4042,MCG +07-29-020,PGC 049514
NGC5372,208.69163,58.66686,0.69,1.9,137,0.37,G,13.74,13.37,11.51,10.9,10.65,21.52,E?,,,IRAS 13530+5854,MCG +10-20-046,PGC 049451
NGC5373,209.28108,5.25189,0.6,1.2,45,0.52,G,15.35,,12.27,11.73,11.31,23.08,E-S0,,,PGC 049620,SDSS J135707.45+051506.7,SDSS J135707.46+051506.7
NGC5374,209.37346,6.097,1.62,1.2,45,1.32,G,13.68,,10.54,9.93,9.7,23.34,SBbc,,,IRAS 13549+0620,MCG +01-36-004,PGC 049650
NGC5375,209.23333,29.16436,2.34,1.4,179,1.73,G,12.82,12.08,10.19,9.39,9.24,23.2,SBab,5396,,MCG +05-33-027,PGC 049604,SDSS J135655.99+290951.7
NGC5376,208.81696,59.50661,1.48,1.6,66,0.92,G,12.92,12.33,10.03,9.35,9.1,22.26,SABa,,,IRAS 13536+5945,MCG +10-20-047,PGC 049489
NGC5377,209.06946,47.23569,3.64,2.6,34,1.42,G,12.17,11.27,9.26,8.61,8.36,23.29,Sa,,,IRAS 13542+4729,MCG +08-25-052,PGC 049563
NGC5378,209.21258,37.79725,2.03,1.3,73,1.57,G,13.63,,10.75,10.07,9.83,23.74,Sa,,,MCG +06-31-027,PGC 049598,SDSS J135651.01+374750.0
NGC5379,208.893,59.74281,2.06,2.9,60,0.72,G,14.01,13.42,11.25,10.56,10.31,24.29,S0,,,MCG +10-20-049,PGC 049508,SDSS J135534.32+594434.0
NGC5380,209.23621,37.61039,2,2,95,0.99,G,13.25,12.29,10.3,9.61,9.35,23.49,E-S0,,,MCG +06-31-028,PGC 049605,SDSS J135656.68+373637.3
NGC5381,210.17483,-59.58681,6.3,,,,OCl,,,,,,,,,,,,
NGC5382,209.56204,6.25869,1.45,1.3,24,1.08,G,13.51,12.6,10.58,9.86,9.7,23.05,S0,,,MCG +01-36-007,PGC 049711,SDSS J135814.89+061531.2
NGC5383,209.27071,41.84625,2.48,1.3,98,1.88,G,12.22,11.57,9.52,8.84,8.54,22.73,Sb,,,IRAS 13550+4205,MCG +07-29-023,PGC 049618
NGC5384,209.55358,6.51819,1.8,2.4,56,0.74,G,14.07,13.07,10.79,10.12,9.88,24.03,S0,,,MCG +01-36-008,PGC 049707,SDSS J135812.85+063105.4
NGC5385,208.133,76.16278,,,,,OCl,,,,,,,,,,,,
NGC5386,209.59308,6.33911,0.98,2.2,47,0.45,G,13.65,,11.45,10.74,10.48,22.14,S0-a,,,IRAS 13558+0634,MCG +01-36-010,PGC 049719
NGC5387,209.60329,6.07128,1.17,3.2,24,0.37,G,14.79,,11.81,11.08,10.71,23.07,SBbc,,,IRAS 13559+0618,MCG +01-36-011,PGC 049724
NGC5389,209.02638,59.74206,3.27,4.6,4,0.71,G,12.89,11.98,9.61,8.88,8.62,23.99,S0-a,,,IRAS 13544+5959,MCG +10-20-051,PGC 049548
NGC5391,209.42825,46.46958,0.51,1.7,38,0.3,G,16.42,,13.2,12.61,12.1,23.79,E,,,PGC 2281757,SDSS J135742.71+462810.5,SDSS J135742.78+462810.5
NGC5392,209.85321,-3.20919,0.95,1.3,145,0.74,G,14.43,,11.14,10.43,10.12,23.12,S0-a,,,MCG +00-36-005,PGC 049792,SDSS J135924.77-031233.1
NGC5393,210.1335,-28.87458,0.95,1.5,5,0.62,G,14.03,,10.88,10.17,9.9,22.58,SBa,,,ESO 445-087,ESO-LV 445-0870,IRAS 13576-2838
NGC5394,209.64021,37.45347,2.63,2.5,60,1.07,G,13.57,12.94,11.14,10.39,10.07,23.78,SBb,,,MCG +06-31-033,PGC 049739,SDSS J135833.63+372712.7
NGC5395,209.65825,37.42447,2.49,2.1,171,1.16,G,12.28,11.66,9.55,8.99,8.57,22.45,SABb,,,MCG +06-31-034,PGC 049747,SDSS J135837.97+372528.1
NGC5397,210.29358,-33.94583,1.62,1.6,65,1.01,G,13.9,12.85,10.26,9.44,9.27,23.66,E-S0,,,ESO 384-031,ESO-LV 384-0310,MCG -06-31-013
NGC5398,210.33983,-33.06378,2.76,1.7,174,1.65,G,14.08,12.39,11.1,10.87,10.34,24.57,Sd,,,ESO 384-032,ESO-LV 384-0320,IRAS 13584-3249
NGC5399,209.88092,34.77358,1.14,3.6,87,0.32,G,14.54,,11.09,10.34,10.01,22.53,Sbc,,,IRAS 13573+3500,MCG +06-31-039,PGC 049799
NGC5400,210.155,-2.85781,1.4,1.1,104,1.25,G,14.3,,10.63,9.97,9.64,23.76,E-S0,,,MCG +00-36-008,PGC 049869,SDSS J140037.20-025128.1
NGC5401,209.93096,36.23811,1.46,4.7,81,0.31,G,14.46,,11.18,10.54,10.31,23.34,SABa,,,MCG +06-31-040,PGC 049810,SDSS J135943.42+361417.2
NGC5402,209.56896,59.81456,1.13,4,166,0.28,G,14.54,,11.9,11.23,10.92,22.44,SBc,,,IRAS 13566+6003,MCG +10-20-054,PGC 049712
NGC5403,209.96217,38.18253,2.75,3.1,143,0.89,G,14.65,,11.2,10.67,10.29,24.63,SBb,,,MCG +06-31-041,PGC 049820,SDSS J135950.75+381056.2
NGC5405,210.28946,7.70228,0.83,1.1,145,0.76,G,14.52,,12.75,12.08,12.03,22.91,Sc,,,MCG +01-36-014,PGC 049906,SDSS J140109.47+074208.1
NGC5406,210.08383,38.91542,1.69,1.4,115,1.22,G,13.12,12.33,10.32,9.61,9.35,22.75,Sbc,,,IRAS 13582+3909,MCG +07-29-031,PGC 049847
NGC5407,210.20875,39.15622,1.37,1.5,97,0.89,G,14.29,,11.27,10.58,10.34,23.84,E,,,MCG +07-29-033,PGC 049890,SDSS J140050.07+390922.4
NGC5408,210.83713,-41.37769,2.84,1.9,66,1.53,G,12.2,11.64,11.44,10.89,11.39,22.66,IB,,,ESO 325-046,ESO 325-047,ESO-LV 325-0470
NGC5409,210.442,9.49028,1.56,1.6,51,1,G,14.11,13.33,11.62,10.98,10.42,23.51,SABb,,,MCG +02-36-009,PGC 049952,SDSS J140146.08+092925.0
NGC5410,210.22754,40.98861,1.15,1.8,63,0.65,G,14.14,,12.13,11.41,11.07,22.88,Sc,,,IRAS 13588+4113,MCG +07-29-034,PGC 049893
NGC5411,210.49692,8.93769,1.51,1.9,138,0.79,G,14.4,13.31,11.17,10.44,10.15,23.99,E-S0,,,MCG +02-36-011,PGC 049967,SDSS J140159.25+085615.6
NGC5412,209.30638,73.61672,1.17,1.2,22,0.95,G,14.78,,11.32,10.66,10.41,23.86,E-S0,,,PGC 049644,UGC 08905,
NGC5413,209.47304,64.91097,1.29,1.3,27,1,G,14.34,,10.9,10.23,9.98,23.73,E,,,MCG +11-17-012,PGC 049677,SDSS J135753.53+645439.5
NGC5414,210.51467,9.92931,0.97,1.5,165,0.66,G,13.85,,11.97,11.37,11.2,22.57,E?,,,IRAS 13595+1010,MCG +02-36-013,PGC 049976
NGC5415,209.23717,70.75439,0.87,1.4,126,0.63,G,15,,11.84,11.19,10.81,23.64,E,,,PGC 049610,,
NGC5416,210.54717,9.44011,1.29,1.8,105,0.73,G,13.98,13.29,10.97,10.46,10.29,22.79,Sc,,,IRAS 13597+0940,MCG +02-36-014,PGC 049991
NGC5417,210.55433,8.03711,1.67,2,118,0.84,G,13.63,,10.3,9.63,9.37,23.13,Sa,,,MCG +01-36-015,PGC 049995,SDSS J140213.03+080213.5
NGC5418,210.57329,7.68417,0.95,2.3,45,0.41,G,14.39,,11.21,10.41,10.26,22.49,SBb,,,IRAS 13597+0755,MCG +01-36-016,PGC 049997
NGC5419,210.91138,-33.97825,3.98,1.3,78,2.95,G,11.9,10.77,8.48,7.83,7.52,23.76,E,,,ESO 384-039,ESO-LV 384-0390,MCG -06-31-019
NGC5420,210.99958,-14.61686,1.9,2.7,135,0.7,G,14.08,,10.96,10.26,9.96,23.32,Sb,,,IRAS 14012-1422,MCG -02-36-006,PGC 050121
NGC5421,210.4245,33.82378,1.3,,,,GPair,14.3,14.3,,,,,,,,UGC 08941,,Holmberg 568 also includes a Galactic star.
NGC5421 NED01,210.42246,33.82683,1.17,1.7,156,0.68,G,14.39,,11.13,10.54,10.24,23.19,Sc,,,IRAS 13594+3404,MCG +06-31-045 NED01,PGC 049950
NGC5421 NED02,210.42546,33.8215,1,1.8,168,0.55,G,15.11,,,,,23.88,S0,,,PGC 049949,SDSS J140142.10+334917.4,UGC 08941 NED02
NGC5422,210.17517,55.16447,2.81,4.8,153,0.59,G,12.81,11.8,9.64,8.93,8.76,23.67,S0-a,,,MCG +09-23-024,PGC 049874,SDSS J140042.02+550951.9
NGC5423,210.70258,9.34139,1.53,1.7,75,0.9,G,13.82,12.86,10.63,9.96,9.72,23.46,E-S0,,,MCG +02-36-017,PGC 050028,SDSS J140248.62+092028.9
NGC5424,210.73208,9.42067,1.46,1.2,108,1.18,G,14.09,13.14,10.81,10.18,9.89,23.65,S0,,,MCG +02-36-019,PGC 050035,SDSS J140255.70+092514.4
NGC5425,210.19863,48.44386,1.58,3.6,127,0.44,G,14.23,,11.56,11.07,10.97,22.94,Sc,,,MCG +08-26-001,PGC 049889,UGC 08933
NGC5426,210.85354,-6.06911,3.06,2.5,1,1.21,G,12.71,12.16,10.34,9.69,9.5,23.12,Sc,,,MCG -01-36-004,PGC 050083,UGCA 380
NGC5427,210.85854,-6.03081,3.61,1.1,178,3.27,G,11.96,12.39,9.48,8.82,8.59,23.4,SABc,,,IRAS 14008-0547,MCG -01-36-003,PGC 050084
NGC5430,210.19058,59.32828,2.18,1.5,177,1.46,G,12.78,,10.01,9.31,8.98,23.13,SBb,,,IRAS 13591+5934,MCG +10-20-062,PGC 049881
NGC5431,210.77979,9.36306,0.9,2.4,83,0.38,G,15.6,,12.03,11.37,11.06,23.56,SBbc,,,MCG +02-36-020,PGC 050046,SDSS J140307.14+092146.9
NGC5433,210.65033,32.51044,1.52,4.2,4,0.36,G,13.99,,11.06,10.33,9.93,22.51,SBcd,,,IRAS 14003+3245,MCG +06-31-050,PGC 050012
NGC5434,210.84642,9.44808,1.48,1.1,35,1.39,G,13.94,13.28,11.56,10.94,10.63,23.48,Sc,,,MCG +02-36-022,PGC 050077,SDSS J140323.14+092653.1
NGC5436,210.92125,9.5735,1.24,2.3,124,0.53,G,14.88,13.83,11.27,10.62,10.41,23.89,S0-a,,,MCG +02-36-025,PGC 050104,SDSS J140341.09+093424.6
NGC5437,210.94725,9.52369,1.07,2,1,0.54,G,14.91,,11.7,11.04,10.74,23.3,Sb,,4365,MCG +02-36-028,PGC 050113,SDSS J140347.34+093125.2
NGC5438,210.95,9.61058,1.18,1.1,70,1.11,G,14.42,,11.24,10.58,10.27,23.65,E,5446,,MCG +02-36-029,PGC 050112,SDSS J140348.00+093638.1
NGC5439,210.49029,46.31192,1.27,3.2,10,0.4,G,14.51,,11.88,11.22,11.02,23.38,Sa,,,IRAS 14000+4632,MCG +08-26-002,PGC 049965
NGC5440,210.75433,34.75786,2.84,2,48,1.45,G,13.27,,9.83,9.15,8.89,23.96,Sa,,,MCG +06-31-052,PGC 050042,SDSS J140301.03+344528.3
NGC5441,210.8,34.68461,0.44,1.2,111,0.38,G,14.9,,13.75,13.65,13.3,22.46,Sbc,,,MCG +06-31-053,PGC 050057,SDSS J140311.99+344104.5
NGC5442,211.18008,-9.71367,1.19,2.1,162,0.56,G,13.94,,11.22,10.52,10.16,22.54,SBb,,,IRAS 14020-0928,MCG -01-36-006,PGC 050189
NGC5443,210.54917,55.81403,1.68,2.9,31,0.57,G,13.11,,9.95,9.28,9.04,22.41,Sb,,,IRAS 14004+5603,MCG +09-23-026,PGC 049993
